*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
! TAV  =    23.6
! TAMP =     1.8
!               Temperature (oC) by soil depth (cm):
!               Surface    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    TS7D    TS8D    TS9D    
 2015 185    60    25.2    25.2    25.2    25.1    25.1    25.1    25.0    25.0    25.0    24.9
 2015 186    61    25.5    25.5    25.4    25.4    25.3    25.3    25.3    25.2    25.2    25.1
 2015 187    62    25.3    25.3    25.2    25.2    25.2    25.1    25.1    25.1    25.0    25.0
 2015 188    63    24.4    24.4    24.4    24.4    24.4    24.3    24.3    24.3    24.3    24.3
 2015 189    64    22.8    22.8    22.8    22.8    22.9    22.9    22.9    23.0    23.0    23.0
 2015 190    65    22.0    22.0    22.1    22.1    22.2    22.2    22.3    22.3    22.4    22.4
 2015 191    66    22.2    22.2    22.2    22.3    22.3    22.4    22.4    22.4    22.5    22.5
 2015 192    67    22.6    22.6    22.7    22.7    22.7    22.7    22.8    22.8    22.8    22.9
 2015 193    68    23.7    23.7    23.7    23.7    23.7    23.7    23.7    23.7    23.7    23.7
 2015 194    69    25.7    25.7    25.6    25.6    25.5    25.5    25.4    25.4    25.4    25.3
 2015 195    70    26.7    26.6    26.5    26.4    26.4    26.3    26.2    26.1    26.1    26.0
 2015 196    71    26.9    26.8    26.7    26.6    26.6    26.5    26.4    26.3    26.2    26.2
 2015 197    72    26.6    26.6    26.5    26.4    26.3    26.3    26.2    26.1    26.1    26.0
 2015 198    73    26.4    26.3    26.3    26.2    26.1    26.0    26.0    25.9    25.9    25.8
 2015 199    74    25.7    25.6    25.6    25.5    25.5    25.4    25.4    25.3    25.3    25.2
 2015 200    75    25.1    25.1    25.0    25.0    25.0    24.9    24.9    24.9    24.8    24.8
 2015 201    76    24.9    24.9    24.9    24.8    24.8    24.8    24.8    24.7    24.7    24.7
 2015 202    77    25.0    25.0    25.0    24.9    24.9    24.9    24.8    24.8    24.8    24.7

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
! TAV  =    23.6
! TAMP =     1.8
!               Temperature (oC) by soil depth (cm):
!               Surface    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    TS7D    TS8D    TS9D    
 2015 148     1    27.3    27.2    27.1    27.1    27.0    26.9    26.8    26.8    26.7    26.6
 2015 149     2    26.6    26.5    26.5    26.4    26.3    26.3    26.2    26.2    26.1    26.0
 2015 150     3    26.2    26.2    26.1    26.1    26.0    26.0    25.9    25.9    25.8    25.8
 2015 151     4    26.1    26.1    26.1    26.0    26.0    25.9    25.9    25.8    25.8    25.7
 2015 152     5    25.9    25.9    25.8    25.8    25.8    25.7    25.7    25.6    25.6    25.5
 2015 153     6    26.2    26.2    26.1    26.1    26.0    26.0    25.9    25.9    25.8    25.8
 2015 154     7    26.5    26.5    26.4    26.3    26.3    26.2    26.2    26.1    26.1    26.0
 2015 155     8    26.3    26.3    26.3    26.2    26.1    26.1    26.0    26.0    25.9    25.9
 2015 156     9    25.8    25.8    25.8    25.7    25.7    25.6    25.6    25.6    25.5    25.5
