*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 170    68    67    82.2    59.7    10.4    3.54    1.39     18.0    91.2     3.0     7.5    2.34    1.20     2.3    1.2    0.0   14.89    2.94
 2015 171    69    68    81.7    60.7     9.2    3.54    1.32     18.0    91.6     2.1     7.1    2.25    1.18     2.2    1.2    0.0   15.75    3.00
 2015 172    70    69    81.3    61.6     8.3    3.54    1.26     18.0    91.8     1.5     6.8    2.17    1.15     2.2    1.2    0.0   16.36    3.07
 2015 173    71    70    81.0    62.3     7.6    3.54    1.21     18.0    91.8     1.1     6.5    2.09    1.13     2.1    1.2    0.0   16.80    3.13
 2015 174    72    71    80.7    62.8     7.1    3.54    1.17     18.0    91.8     0.8     6.3    2.03    1.11     2.1    1.1    0.0   17.11    3.19
 2015 175    73    72    80.5    63.1     6.8    3.54    1.15     18.0    91.8     0.6     6.2    1.99    1.11     2.0    1.1    0.0   17.33    3.24

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 126     1     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 127     2     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 128     3     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
