*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2015 166    64    63   3316 13.7808  0.0000  8.8036  1.9194  1.9748 0.60041 15.088 23.837 26.448 21.840  3.5918  2.9694 65.0819
 2015 167    65    64   3252 12.8389  0.0000  7.5313  1.3377  1.8475 1.53793 15.709 24.989 26.152 21.373  3.5596  3.0382 65.2147
 2015 168    66    65   3196  9.5405  1.2013  7.1420  1.4488  1.6596 0.05792 15.073 23.805 26.219 21.921  3.5395  3.0840 65.2939
 2015 169    67    66   3156  7.8195  1.1631  5.8455  1.3743  1.4823 0.00370 14.329 22.554 26.223 21.753  3.5374  3.0913 65.2999
 2015 170    68    67   3124  5.8101  1.0109  4.4338  1.0270  1.2257 0.00000 13.605 21.400 24.951 20.894  3.5394  3.0866 65.2922
 2015 171    69    68   3098  3.8168  0.8495  3.0609  0.6475  0.9152 0.00000 12.934 20.377 23.346 18.739  3.5397  3.0804 65.2963
 2015 172    70    69   3077  3.0037  0.7723  2.4672  0.4536  0.8739 0.00000 12.277 19.408 22.489 19.223  3.5401  3.0761 65.2980
 2015 173    71    70   3059  2.1094  0.6954  1.8034  0.2513  0.8273 0.00000 11.643 18.496 23.684 19.146  3.5404  3.0731 65.2993
 2015 174    72    71   3043  1.6496  0.6557  1.3736  0.1645  0.8468 0.00000 11.008 17.610 24.070 20.048  3.5408  3.0714 65.2986
 2015 175    73    72   3029  1.0634  0.5923  0.8480  0.1016  0.7556 0.00000 10.396 16.783 23.703 19.200  3.5409  3.0700 65.2991

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2015 126     1     0      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 24.679 21.033  0.0000  0.0000  0.0000
 2015 127     2     1      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 25.519 21.388  0.0000  0.0000  0.0000
 2015 128     3     2      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 26.344 22.458  0.0000  0.0000  0.0000
 2015 129     4     3      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 24.625 21.087  0.0000  0.0000  0.0000
 2015 130     5     4     37  0.0000  0.0038  0.0026  0.0008  0.0000 0.00000  3.915  7.822 25.844 21.405  0.0000  0.0000  0.0000
 2015 131     6     5     38  0.2503  0.0030  0.1532  0.0446  0.0232 0.00000  3.857  7.686 20.368 18.426  0.0000  0.0000  0.0000
 2015 132     7     6     40  0.4366  0.0033  0.2697  0.0786  0.0345 0.00000  3.809  7.551 21.358 19.591  0.0000  0.0000  0.0000
 2015 133     8     7     43  0.5772  0.0035  0.3571  0.1033  0.0435 0.00000  3.770  7.431 23.099 19.912  0.0000  0.0000  0.0000
 2015 134     9     8     47  0.7315  0.0038  0.4555  0.1313  0.0540 0.00000  3.735  7.343 24.549 20.151  0.0000  0.0000  0.0000
 2015 135    10     9     52  0.8093  0.0038  0.5836  0.1366  0.0559 0.00000  3.749  7.298 23.827 19.396  0.0000  0.0000  0.0000
 2015 136    11    10     57  0.8698  0.0042  0.5306  0.1589  0.0588 0.00000  3.706  7.276 22.895 19.158  0.0000  0.0000  0.0000
 2015 137    12    11     64  1.1864  0.0050  0.7453  0.2103  0.0854 0.00000  3.669  7.286 24.788 20.671  0.0000  0.0000  0.0000
 2015 138    13    12     72  1.3420  0.0059  0.8248  0.2525  0.1022 0.00000  3.656  7.218 25.378 21.435  0.0000  0.0000  0.0000
 2015 139    14    13     81  1.6026  0.0073  1.0555  0.2958  0.1351 0.00000  3.690  7.152 25.658 23.169  0.0000  0.0000  0.0000
 2015 140    15    14     92  1.9033  0.0074  1.2484  0.3349  0.1376 0.00000  3.719  7.121 24.608 21.291  0.0000  0.0000  0.0000
 2015 141    16    15    105  2.2801  0.0082  1.3236  0.4208  0.1577 0.00000  3.685  7.104 24.645 20.844  0.0000  0.0000  0.0000
 2015 142    17    16    122  2.6006  0.0094  1.8793  0.4628  0.1818 0.00000  3.718  7.105 24.636 21.009  0.0000  0.0000  0.0000
 2015 143    18    17    140  3.1042  0.0120  1.9809  0.5670  0.2404 0.00000  3.734  7.088 25.283 22.486  0.0000  0.0000  0.0000
 2015 144    19    18    163  3.9096  0.0139  2.3985  0.6868  0.3056 0.00000  3.713  7.075 26.306 22.820  0.0000  0.0000  0.0000
 2015 145    20    19    181  3.7566  0.0169  1.8054  0.7267  0.3272 0.00000  3.624  6.966 26.730 23.658  0.0000  0.0000  0.0000
 2015 146    21    20    196  2.9666  0.0181  1.5233  0.5489  0.2790 0.00000  3.549  6.836 26.453 23.244  0.0000  0.0000  0.0000
 2015 147    22    21    225  4.7920  0.0191  3.2874  0.8272  0.4002 0.00000  3.576  6.794 26.532 23.290  0.0000  0.0000  0.0000
 2015 148    23    22    251  4.7022  0.0174  2.6077  1.0039  0.3117 0.00000  3.549  6.827 24.782 19.436  0.0000  0.0000  0.0000
 2015 149    24    23    277  4.8912  0.0179  3.5008  0.9155  0.3023 0.00000  3.598  6.654 24.034 18.242  0.0000  0.0000  0.0000
 2015 150    25    24    299  5.8779  0.0210  3.6281  1.1748  0.3945 0.00000  3.600  6.265 25.605 19.400  0.0000  0.0000  0.0000
 2015 151    26    25    335  6.8479  0.0238  3.6397  1.4749  0.5029 0.00000  3.558  6.338 27.170 20.725  0.0000  0.0000  0.0000
 2015 152    27    26    383  7.6592  0.0265  5.3279  1.4147  0.5431 0.00000  3.588  6.538 26.350 20.424  0.0000  0.0000  0.0000
 2015 153    28    27    437  9.2716  0.0352  5.8003  1.8171  0.7248 0.00000  3.593  6.697 26.412 22.244  0.0000  0.0000  0.0000
 2015 154    29    28    492 10.0931  0.0398  5.3960  2.1887  0.7554 0.00000  3.540  6.783 25.524 21.563  0.0000  0.0000  0.0000
 2015 155    30    29    549 10.0830  0.0434  5.7144  1.9915  0.7384 0.04216  3.556  6.950 24.884 20.855  0.0000  0.0000  0.0000
 2015 156    31    30    604  9.5232  0.0491  6.0802  1.7158  0.7349 0.19179  3.814  7.679 24.883 20.854  0.0000  0.0000  0.0000
 2015 157    32    31    672 12.2559  0.0592  6.6706  2.5915  0.9342 0.40037  4.232  8.980 25.486 21.287  0.0000  0.0000  0.0000
 2015 158    33    32    737 13.2514  0.0753  7.2534  2.6278  1.0265 0.67200  4.913 10.657 25.461 21.400  0.0000  0.0000  0.0000
 2015 159    34    33    794 13.7367  0.0932  7.5185  2.3664  1.0406 0.94975  5.747 12.487 25.437 20.791  0.0000  0.0000  0.0000
 2015 160    35    34    859 14.2447  0.1179  8.3803  2.2008  1.0944 1.39635  6.820 15.001 25.621 20.770  0.0000  0.0000  0.0000
 2015 161    36    35    927 12.6092  0.1503  6.0017  2.3348  1.0180 1.20839  7.439 16.570 24.986 20.617  0.0000  0.0000  0.0000
 2015 162    37    36    997 15.1810  0.1900  7.1121  2.6826  1.2671 1.74586  8.426 18.592 25.885 21.516  0.0000  0.0000  0.0000
 2015 163    38    37   1062 15.0585  0.2407  7.9708  2.2432  1.3196 2.31069  9.782 20.958 25.626 21.877  0.0000  0.0000  0.0000
 2015 164    39    38   1128 15.3453  0.2838  6.2043  2.8682  1.3184 2.14846 10.690 22.690 26.036 21.221  0.0000  0.0000  0.0000
 2015 165    40    39   1196 15.4414  0.3288  6.2221  2.7891  1.3357 2.44068 11.642 24.413 26.021 21.000  0.0000  0.0000  0.0000
 2015 166    41    40   1270 15.8437  0.4029  6.3468  2.8942  1.4732 2.48984 12.364 25.776 26.448 21.840  0.0000  0.0000  0.0000
 2015 167    42    41   1349 15.3136  0.4490  7.7389  2.1755  1.4305 2.96223 13.300 27.275 26.152 21.373  0.0000  0.0000  0.0000
