*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
!                                                                                                                              NO3 (ppm) at soil dep. (cm):                                            NH4 (ppm) at soil dep. (cm):                                            Total Inorganic N @dep(ppm):
!                                                                                                                              0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    
 2015 140    38   100     3   140.4    93.4    47.0   18.00   60.29    8.98    0.00    7.47   18.00   32.38   28.33    0.00    7.41     4.9     4.5    4.87    5.21    5.67    6.03    6.27    6.44   22.82    0.48    0.51    0.56    0.61    0.55    0.49    0.34    0.22   30.23    5.42    4.97    5.43    5.82    6.23    6.52    6.60    6.66
 2015 141    39   100     3   135.6    93.1    42.5   18.47   62.49    9.02    0.00    9.43   18.47   35.39   28.90    0.00    8.16     4.7     4.2    4.72    5.15    5.63    5.98    6.24    6.46   20.25    0.50    0.51    0.54    0.60    0.55    0.49    0.35    0.21   28.41    5.17    4.70    5.25    5.74    6.18    6.47    6.59    6.67
 2015 142    40   100     3   130.7    93.7    37.1   18.95   65.31    9.03    0.00   10.87   18.95   39.37   28.90    0.00    7.07     4.9     4.7    5.14    5.27    5.68    5.99    6.26    6.46   17.29    0.52    0.46    0.47    0.58    0.55    0.49    0.35    0.21   24.36    5.41    5.16    5.61    5.85    6.22    6.48    6.61    6.67
 2015 143    41   100     3   127.3    92.9    34.4   19.42   66.68    9.06    0.00   12.19   19.42   40.46   30.39    0.00    7.47     4.7     4.5    4.97    5.14    5.60    5.95    6.21    6.48   15.70    0.54    0.49    0.48    0.58    0.54    0.49    0.36    0.20   23.17    5.27    5.01    5.45    5.72    6.14    6.44    6.57    6.68
 2015 144    42   100     3   122.9    92.2    30.7   19.90   68.49    9.16    0.00   13.26   19.90   43.41   31.19    0.00    7.83     4.5     4.3    4.81    5.05    5.57    5.93    6.24    6.49   13.62    0.52    0.50    0.49    0.57    0.54    0.49    0.33    0.20   21.46    4.99    4.82    5.30    5.62    6.11    6.42    6.57    6.69
 2015 145    43   100     3   117.7    91.6    26.1   20.39   70.61    9.19    0.00   14.26   20.39   47.85   31.39    0.00    8.12     4.1     4.1    4.66    5.00    5.62    5.99    6.28    6.51   11.19    0.51    0.51    0.50    0.56    0.49    0.44    0.31    0.20   19.32    4.61    4.59    5.16    5.56    6.11    6.43    6.59    6.71
 2015 146    44   100     3   113.1    92.7    20.3   20.90   74.27    9.19    0.00   15.13   20.90   52.11   31.39    0.00    6.64     4.4     4.4    4.96    5.52    6.01    6.14    6.34    6.51    8.13    0.46    0.51    0.50    0.49    0.44    0.40    0.29    0.20   14.77    4.88    4.92    5.46    6.01    6.45    6.54    6.63    6.70
 2015 147    45   100     3   110.1    91.0    19.1   21.40   75.09    9.31    0.00   15.70   21.40   53.00   33.28    0.00    6.76     4.3     4.2    4.75    5.31    5.81    6.04    6.32    6.53    7.37    0.48    0.53    0.51    0.50    0.45    0.41    0.27    0.19   14.13    4.75    4.74    5.27    5.81    6.26    6.45    6.59    6.72
 2015 148    46   100     3   106.4    89.2    17.2   21.92   76.19    9.37    0.00   16.12   21.92   55.67   34.34    0.00    6.76     4.0     4.0    4.58    5.16    5.70    6.00    6.33    6.54    6.29    0.50    0.51    0.51    0.51    0.45    0.41    0.26    0.19   13.05    4.49    4.50    5.09    5.68    6.15    6.41    6.59    6.73
 2015 149    47   100     3   102.2    87.3    14.9   22.45   77.40    9.40    0.00   16.41   22.45   59.65   34.78    0.00    6.56     3.6     3.7    4.42    5.06    5.65    6.03    6.36    6.56    5.06    0.51    0.51    0.51    0.51    0.46    0.37    0.24    0.19   11.61    4.13    4.23    4.92    5.58    6.10    6.40    6.60    6.75
 2015 150    48   100     3    99.7    87.2    12.5   22.97   79.31    9.41    0.00   16.65   22.97   62.45   34.78    0.00    6.91     3.4     3.6    4.33    5.02    5.63    6.09    6.39    6.59    3.73    0.47    0.51    0.51    0.51    0.46    0.34    0.23    0.19   10.65    3.91    4.07    4.84    5.53    6.09    6.43    6.63    6.78
 2015 151    49   100     3    97.2    86.8    10.4   23.49   81.01    9.41    0.00   16.83   23.49   65.22   34.78    0.00    7.06     3.3     3.4    4.27    4.98    5.64    6.13    6.40    6.59    2.76    0.43    0.47    0.46    0.51    0.46    0.32    0.22    0.19    9.82    3.69    3.90    4.73    5.48    6.10    6.44    6.62    6.77
 2015 152    50   100     3    94.7    86.0     8.7   24.01   82.59    9.41    0.00   16.97   24.01   68.16   34.78    0.00    5.82     3.9     3.5    4.23    4.98    5.69    6.15    6.40    6.58    2.02    0.40    0.43    0.42    0.46    0.41    0.29    0.22    0.18    7.84    4.27    3.94    4.65    5.44    6.10    6.44    6.62    6.76
