*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                   0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D    SNW0C   SNW1C
 2015 138    36    35    7.8      1  1.663    553    407      0    173    960    960      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.83   0.00   0.00      0      0  300.8   0.42   0.37   19.0   0.50    0.56    0.45    0.33    0.15    0.05    0.00    0.00    0.00    0.00      153      39
 2015 139    37    36    8.1      1  1.598    560    461      0    178   1021   1021      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.88   0.00   0.00      0      0  285.4   0.45   0.39   19.8   0.50    0.57    0.46    0.34    0.16    0.05    0.00    0.00    0.00    0.00      189      43
 2015 140    38    37    8.3      1  1.601    591    525      0    184   1115   1115      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.85   0.00   0.00      0      0  270.8   0.47   0.41   20.1   0.50    0.59    0.48    0.35    0.16    0.05    0.00    0.00    0.00    0.00      192      46
 2015 141    39    38    8.6      1  1.589    615    586      0    189   1201   1201      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.88   0.00   0.00      0      0  258.3   0.50   0.42   20.4   0.50    0.61    0.49    0.36    0.17    0.05    0.00    0.00    0.00    0.00      201      50
 2015 142    40    39    8.9      1  1.547    632    653      0    194   1285   1285      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.86   0.00   0.00      0      0  244.8   0.52   0.44   23.9   0.50    0.63    0.50    0.37    0.18    0.06    0.00    0.00    0.00    0.00      219      53
 2015 143    41    40    9.1      5  1.546    660    719      0    199   1379   1379      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.88   0.00   0.00      0      0  234.2   0.55   0.45   23.0   0.50    0.64    0.52    0.38    0.18    0.06    0.00    0.00    0.00    0.00      222      58
 2015 144    42    41    9.4      5  1.534    680    777      0    203   1458   1462     53     0.0  0.000      4     11  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.93   0.00   0.00      0      4  225.4   0.58   0.45   22.0   0.50    0.65    0.53    0.39    0.18    0.06    0.00    0.00    0.00    0.00      233      63
 2015 145    43    42    9.7      5  1.516    696    830      5    206   1525   1549    174     2.9  0.003     24     38  0.000  0.000  0.000  0.000  0.000  0.000  0.000    4.00  21.10   0.02      0     24  217.9   0.61   0.45   21.2   0.50    0.66    0.53    0.39    0.19    0.06    0.00    0.00    0.00    0.00      246      68
 2015 146    44    43    9.7      5  1.475    699    874     22    215   1573   1639    309     7.0  0.013     66     67  0.000  0.091  0.000  0.000  0.000  0.000  0.000    3.95  32.83   0.04      0     66  211.0   0.64   0.45   24.5   0.50    0.69    0.56    0.41    0.20    0.06    0.00    0.00    0.00    0.00      265      72
 2015 147    45    44    9.7      5  1.452    700    897     51    214   1597   1732    479    10.7  0.030    135    103  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.92  37.94   0.08      0    135  207.4   0.67   0.45   23.5   0.50    0.69    0.56    0.41    0.20    0.06    0.00    0.00    0.00    0.00      275      78
