*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2015 191    44   0.054    0.00     174    0.05
 2015 192    45   0.058    0.00     187    0.05
 2015 193    46   0.058    0.00     187    0.05
 2015 194    47   0.061    0.00     197    0.05
 2015 195    48   0.066    0.00     212    0.05
 2015 196    49   0.067    0.00     216    0.05
 2015 197    50   0.067    0.00     218    0.05
 2015 198    51   0.069    0.00     224    0.05
 2015 199    52   0.072    0.00     233    0.04
 2015 200    53   0.075    0.00     242    0.04
 2015 201    54   0.077    0.00     251    0.04
 2015 202    55   0.080    0.01     262    0.04
 2015 203    56   0.083    0.01     272    0.04
 2015 204    57   0.087    0.01     283    0.04
 2015 205    58   0.090    0.01     295    0.04
 2015 206    59   0.093    0.01     306    0.04
 2015 207    60   0.096    0.01     317    0.04
 2015 208    61   0.104    0.01     343    0.04
 2015 209    62   0.111    0.01     366    0.04
 2015 210    63   0.113    0.01     375    0.04
 2015 211    64   0.115    0.01     383    0.04
 2015 212    65   0.118    0.01     393    0.03
 2015 213    66   0.120    0.01     401    0.03
 2015 214    67   0.123    0.01     410    0.03
 2015 215    68   0.125    0.01     418    0.03
 2015 216    69   0.127    0.01     426    0.03
 2015 217    70   0.158    0.02     539    0.03
 2015 218    71   0.181    0.03     623    0.04
 2015 219    72   0.197    0.03     685    0.05
 2015 220    73   0.208    0.04     730    0.06
 2015 221    74   0.217    0.04     763    0.05
 2015 222    75   0.223    0.04     788    0.05
 2015 223    76   0.227    0.05     806    0.05
 2015 224    77   0.231    0.05     819    0.04
