RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,simulacao
2,EMEP1403BN,2,1,BN,48,42,54,48,66,62,88,82,2296,1997,3287,2923,1479,1258,0.1552,0.17,5.00,5.52,5141,3204,2850,-99,5.18,6.26,0.447,0.62,69.86,72.7,83,-99,128,-99,21,-99,3.60,-99,1750,1349,56,-99,13.56,-99,3.01,-99,1.21,-99,97,-99,4,-99,-99,teste_IP200_IT300_poi_matern3_2_teste,IP200_IT300_poi_matern3_2
3,EMEP1403BN,8,1,BN,44,41,49,51,60,57,84,84,2826,2630,3771,-99,1395,1215,0.2026,0.21,5.00,4.94,5598,3092,2770,-99,5.25,6.14,0.505,-99,74.94,72.3,95,-99,133,-99,18,-99,3.37,-99,1793,2069,60,-99,14.27,-99,3.08,-99,1.41,-99,93,-99,4,-99,-99,teste_IP200_IT300_poi_matern3_2_teste,IP200_IT300_poi_matern3_2
1,EMEP1403BN,1,1,BN,46,35,53,42,63,56,92,72,1750,1605,2613,2313,1281,1090,0.1366,0.15,5.00,5.49,4439,3202,2690,-99,5.33,4.18,0.394,0.50,66.96,70.4,62,-99,110,-99,25,-99,3.56,-99,1809,1409,60,-99,13.90,-99,2.79,-99,1.23,-99,101,-99,4,-99,-99,teste_IP200_IT300_poi_matern5_2_teste,IP200_IT300_poi_matern5_2
2,EMEP1403BN,2,1,BN,48,42,55,48,66,62,95,82,2062,1997,2997,2923,1407,1258,0.1465,0.17,5.00,5.52,4965,3204,2900,-99,5.12,6.26,0.415,0.62,68.82,72.7,75,-99,123,-99,25,-99,3.62,-99,1665,1349,53,-99,13.61,-99,2.97,-99,1.20,-99,104,-99,4,-99,-99,teste_IP200_IT300_poi_matern5_2_teste,IP200_IT300_poi_matern5_2
3,EMEP1403BN,8,1,BN,44,41,50,51,60,57,94,84,2912,2630,3819,-99,1286,1215,0.2263,0.21,5.00,4.94,5668,3092,2760,-99,5.04,6.14,0.514,-99,76.24,72.3,101,-99,141,-99,20,-99,3.48,-99,1675,2069,55,-99,14.31,-99,2.84,-99,1.40,-99,103,-99,4,-99,-99,teste_IP200_IT300_poi_matern5_2_teste,IP200_IT300_poi_matern5_2
1,EMEP1403BN,1,1,BN,46,35,53,42,63,56,81,72,1998,1605,2844,2313,1228,1090,0.1627,0.15,5.00,5.49,4710,3202,2710,-99,5.22,4.18,0.424,0.50,70.26,70.4,71,-99,117,-99,24,-99,3.55,-99,1933,1409,63,-99,13.97,-99,2.81,-99,1.24,-99,90,-99,4,-99,-99,teste_IP200_IT300_ucb_exp_teste,IP200_IT300_ucb_exp
2,EMEP1403BN,2,1,BN,48,42,55,48,66,62,85,82,2226,1997,3114,2923,1333,1258,0.1670,0.17,5.00,5.52,5171,3204,2940,-99,5.09,6.26,0.431,0.62,71.49,72.7,77,-99,119,-99,22,-99,3.46,-99,1791,1349,57,-99,13.64,-99,3.30,-99,1.20,-99,94,-99,4,-99,-99,teste_IP200_IT300_ucb_exp_teste,IP200_IT300_ucb_exp
3,EMEP1403BN,8,1,BN,44,41,50,51,60,57,81,84,2704,2630,3519,-99,1206,1215,0.2242,0.21,5.00,4.94,5419,3092,2720,-99,4.94,6.14,0.499,-99,76.84,72.3,92,-99,130,-99,20,-99,3.41,-99,1780,2069,59,-99,14.30,-99,3.00,-99,1.39,-99,90,-99,4,-99,-99,teste_IP200_IT300_ucb_exp_teste,IP200_IT300_ucb_exp
1,EMEP1403BN,1,1,BN,46,35,53,42,63,56,87,72,1778,1605,2510,2313,1085,1090,0.1639,0.15,5.00,5.49,4478,3202,2700,-99,5.38,4.18,0.397,0.50,70.85,70.4,63,-99,110,-99,26,-99,3.57,-99,1808,1409,60,-99,13.89,-99,2.77,-99,1.23,-99,96,-99,4,-99,-99,teste_IP200_IT300_ucb_gauss_teste,IP200_IT300_ucb_gauss
2,EMEP1403BN,2,1,BN,48,42,55,48,66,62,90,82,2038,1997,2849,2923,1204,1258,0.1693,0.17,5.00,5.52,5003,3204,2960,-99,5.13,6.26,0.407,0.62,71.55,72.7,74,-99,121,-99,26,-99,3.64,-99,1657,1349,53,-99,13.59,-99,2.94,-99,1.20,-99,99,-99,4,-99,-99,teste_IP200_IT300_ucb_gauss_teste,IP200_IT300_ucb_gauss
3,EMEP1403BN,8,1,BN,44,41,50,51,60,57,86,84,2645,2630,3486,-99,1235,1215,0.2142,0.21,5.00,4.94,5493,3092,2850,-99,5.09,6.14,0.482,-99,75.88,72.3,91,-99,131,-99,22,-99,3.44,-99,1671,2069,55,-99,14.31,-99,2.95,-99,1.40,-99,95,-99,4,-99,-99,teste_IP200_IT300_ucb_gauss_teste,IP200_IT300_ucb_gauss
1,EMEP1403BN,1,1,BN,46,35,53,42,63,56,81,72,1994,1605,2827,2313,1214,1090,0.1642,0.15,5.00,5.49,4633,3202,2640,-99,4.97,4.18,0.430,0.50,70.51,70.4,71,-99,115,-99,23,-99,3.55,-99,1859,1409,61,-99,13.97,-99,2.82,-99,1.22,-99,90,-99,4,-99,-99,teste_IP200_IT300_ucb_matern3_2_teste,IP200_IT300_ucb_matern3_2
2,EMEP1403BN,2,1,BN,48,42,55,48,66,62,84,82,2149,1997,3012,2923,1291,1258,0.1665,0.17,5.00,5.52,5036,3204,2890,-99,4.82,6.26,0.427,0.62,71.35,72.7,73,-99,114,-99,21,-99,3.40,-99,1726,1349,55,-99,13.67,-99,3.43,-99,1.19,-99,93,-99,4,-99,-99,teste_IP200_IT300_ucb_matern3_2_teste,IP200_IT300_ucb_matern3_2
3,EMEP1403BN,8,1,BN,44,41,50,51,60,57,81,84,2687,2630,3491,-99,1190,1215,0.2258,0.21,5.00,4.94,5330,3092,2640,-99,4.69,6.14,0.504,-99,76.97,72.3,92,-99,129,-99,19,-99,3.41,-99,1715,2069,57,-99,14.33,-99,3.00,-99,1.38,-99,90,-99,4,-99,-99,teste_IP200_IT300_ucb_matern3_2_teste,IP200_IT300_ucb_matern3_2
1,EMEP1403BN,1,1,BN,46,35,53,42,63,56,81,72,1994,1605,2825,2313,1213,1090,0.1644,0.15,5.00,5.49,4688,3202,2690,-99,5.14,4.18,0.425,0.50,70.59,70.4,71,-99,117,-99,24,-99,3.57,-99,1971,1409,65,-99,13.88,-99,2.78,-99,1.25,-99,90,-99,4,-99,-99,teste_IP200_IT300_ucb_matern5_2_teste,IP200_IT300_ucb_matern5_2
2,EMEP1403BN,2,1,BN,48,42,55,48,66,62,85,82,2212,1997,3087,2923,1325,1258,0.1670,0.17,5.00,5.52,5085,3204,2870,-99,4.77,6.26,0.435,0.62,71.66,72.7,77,-99,118,-99,21,-99,3.48,-99,1767,1349,57,-99,13.52,-99,3.26,-99,1.19,-99,94,-99,4,-99,-99,teste_IP200_IT300_ucb_matern5_2_teste,IP200_IT300_ucb_matern5_2
3,EMEP1403BN,8,1,BN,44,41,50,51,60,57,81,84,2669,2630,3469,-99,1184,1215,0.2253,0.21,5.00,4.94,5360,3092,2690,-99,4.95,6.14,0.498,-99,76.94,72.3,91,-99,129,-99,20,-99,3.40,-99,1840,2069,61,-99,14.25,-99,3.01,-99,1.40,-99,90,-99,4,-99,-99,teste_IP200_IT300_ucb_matern5_2_teste,IP200_IT300_ucb_matern5_2
