RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,linha_resumo,etapa,bnx_mais_importante,simulacao_escolhida,pasta_saida,arquivo_origem,bnx_train,euclidiana,euclidiana_treinamento,euclidiana_teste,param_EMFL,param_FLSD,param_SDPM
3,EMEP1403BN,4,1,BN,49,50,54,54,64,64,83,82,2731,4004,3955,3178,2147,1062,0.1272,0.23,4.64,5.31,5209,5302,2480,-99,3.48,4.92,0.524,-99,69.07,78.2,97,-99,132,-99,11,-99,3.57,-99,1597,2161,56,-99,13.72,-99,3.35,-99,1.08,-99,92,-99,4,-99,-99,bestcfg_0004_treinamento_EMEP1403_EXPL1_5,4,treinamento,EMEP1403_EXPL1_5.BNX,IP100_IT300_ei_exp,EMEP1403_EXPL1_5,melhor_configuracao_treinamento.csv,,7.477384351209912,,,34.353942617960065,11.77246621169537,16.482535083429912
4,EMEP1403BN,6,1,BN,45,55,51,67,60,74,80,91,2866,4340,4121,5358,2206,3157,0.1299,0.19,4.64,4.95,5655,4261,2790,-99,4.29,5.00,0.507,-99,69.56,74.9,101,-99,140,-99,15,-99,3.53,-99,1925,1849,62,-99,14.51,-99,3.32,-99,1.29,-99,89,-99,4,-99,-99,bestcfg_0004_treinamento_EMEP1403_EXPL1_5,4,treinamento,EMEP1403_EXPL1_5.BNX,IP100_IT300_ei_exp,EMEP1403_EXPL1_5,melhor_configuracao_treinamento.csv,,7.477384351209912,,,34.353942617960065,11.77246621169537,16.482535083429912
5,EMEP1403BN,8,1,BN,43,41,48,51,58,57,82,84,2859,2630,3861,-99,1675,1215,0.1707,0.21,4.64,4.94,5043,3092,2180,-99,3.83,6.14,0.567,-99,74.04,72.3,100,-99,130,-99,11,-99,3.48,-99,1606,2069,54,-99,14.00,-99,2.88,-99,1.30,-99,91,-99,4,-99,-99,bestcfg_0004_treinamento_EMEP1403_EXPL1_5,4,treinamento,EMEP1403_EXPL1_5.BNX,IP100_IT300_ei_exp,EMEP1403_EXPL1_5,melhor_configuracao_treinamento.csv,,7.477384351209912,,,34.353942617960065,11.77246621169537,16.482535083429912
6,EMEP1403BN,9,1,BN,45,47,51,56,62,65,86,86,2892,2080,3947,3807,1689,1151,0.1713,0.17,4.64,4.63,5211,3027,2320,-99,3.66,4.59,0.555,0.69,73.28,71.8,98,-99,130,-99,12,-99,3.40,-99,1659,2002,57,-99,13.74,-99,3.20,-99,1.12,-99,95,-99,4,-99,-99,bestcfg_0004_treinamento_EMEP1403_EXPL1_5,4,treinamento,EMEP1403_EXPL1_5.BNX,IP100_IT300_ei_exp,EMEP1403_EXPL1_5,melhor_configuracao_treinamento.csv,,7.477384351209912,,,34.353942617960065,11.77246621169537,16.482535083429912
1,EMEP1403BN,2,1,BN,48,42,53,48,63,62,85,82,2413,1997,3460,2923,1730,1258,0.1395,0.17,4.64,5.52,4687,3204,2270,-99,3.90,6.26,0.515,0.62,69.75,72.7,83,-99,117,-99,12,-99,3.45,-99,1688,1349,54,-99,13.60,-99,3.29,-99,1.15,-99,94,-99,4,-99,-99,bestcfg_0005_treinamento_EMEP1403_EXPL1_6,5,treinamento,EMEP1403_EXPL1_6.BNX,IP100_IT100_ei_exp,EMEP1403_EXPL1_6,melhor_configuracao_treinamento.csv,,7.368785638211353,,,34.96627299801945,11.20185443090575,16.588803592614838
2,EMEP1403BN,3,1,BN,50,49,56,55,64,68,85,90,2741,2803,3616,3069,1768,1501,0.1550,0.19,4.64,4.52,4779,4319,2040,-99,3.34,6.34,0.574,0.65,75.80,74.4,95,-99,122,-99,10,-99,3.48,-99,1511,1224,51,-99,13.47,-99,3.38,-99,1.06,-99,94,-99,4,-99,-99,bestcfg_0005_treinamento_EMEP1403_EXPL1_6,5,treinamento,EMEP1403_EXPL1_6.BNX,IP100_IT100_ei_exp,EMEP1403_EXPL1_6,melhor_configuracao_treinamento.csv,,7.368785638211353,,,34.96627299801945,11.20185443090575,16.588803592614838
3,EMEP1403BN,4,1,BN,50,50,55,54,64,64,83,82,2766,4004,3899,3178,1990,1062,0.1390,0.23,4.64,5.31,5261,5302,2500,-99,3.57,4.92,0.526,-99,70.95,78.2,99,-99,133,-99,12,-99,3.58,-99,1709,2161,60,-99,13.72,-99,3.33,-99,1.09,-99,92,-99,4,-99,-99,bestcfg_0005_treinamento_EMEP1403_EXPL1_6,5,treinamento,EMEP1403_EXPL1_6.BNX,IP100_IT100_ei_exp,EMEP1403_EXPL1_6,melhor_configuracao_treinamento.csv,,7.368785638211353,,,34.96627299801945,11.20185443090575,16.588803592614838
4,EMEP1403BN,5,1,BN,45,51,50,54,59,68,79,90,2914,3993,3962,5140,1880,1964,0.1550,0.19,4.64,4.96,5514,5002,2600,-99,4.34,5.67,0.529,-99,73.57,77.6,101,-99,136,-99,15,-99,3.46,-99,2013,2306,66,-99,14.70,-99,3.37,-99,1.36,-99,88,-99,4,-99,-99,bestcfg_0005_treinamento_EMEP1403_EXPL1_6,5,treinamento,EMEP1403_EXPL1_6.BNX,IP100_IT100_ei_exp,EMEP1403_EXPL1_6,melhor_configuracao_treinamento.csv,,7.368785638211353,,,34.96627299801945,11.20185443090575,16.588803592614838
5,EMEP1403BN,8,1,BN,44,41,49,51,58,57,82,84,2832,2630,3826,-99,1642,1215,0.1725,0.21,4.64,4.94,5076,3092,2240,-99,3.90,6.14,0.558,-99,74.02,72.3,98,-99,129,-99,12,-99,3.46,-99,1688,2069,56,-99,14.26,-99,2.92,-99,1.34,-99,91,-99,4,-99,-99,bestcfg_0005_treinamento_EMEP1403_EXPL1_6,5,treinamento,EMEP1403_EXPL1_6.BNX,IP100_IT100_ei_exp,EMEP1403_EXPL1_6,melhor_configuracao_treinamento.csv,,7.368785638211353,,,34.96627299801945,11.20185443090575,16.588803592614838
6,EMEP1403BN,9,1,BN,46,47,52,56,62,65,86,86,2858,2080,3863,3807,1679,1151,0.1703,0.17,4.64,4.63,5214,3027,2360,-99,3.74,4.59,0.548,0.69,73.99,71.8,97,-99,129,-99,13,-99,3.41,-99,1761,2002,60,-99,13.98,-99,3.19,-99,1.14,-99,95,-99,4,-99,-99,bestcfg_0005_treinamento_EMEP1403_EXPL1_6,5,treinamento,EMEP1403_EXPL1_6.BNX,IP100_IT100_ei_exp,EMEP1403_EXPL1_6,melhor_configuracao_treinamento.csv,,7.368785638211353,,,34.96627299801945,11.20185443090575,16.588803592614838
