pasta_saida,etapa,arquivo_origem,simulacao_escolhida,bnx_mais_importante,euclidiana,EMFL,FLSD,SDPM,bnx_train,euclidiana_treinamento,euclidiana_teste
EMEP1403_PREV1_8,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_matern3_2,EMEP1403_PREV1_8.BNX,1.0109172747255366,34.90,12.80,18.18,,,
EMEP1403_PREV1_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_poi_matern5_2,EMEP1403_PREV1_9.BNX,7.624877196096635,34.82,9.77,21.74,,,
EMEP1403_PREV2_3,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_gauss,EMEP1403_PREV2_3.BNX,7.542875352844713,34.50,7.983,22.05,,,
EMEP1403_PREV2_4,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_matern5_2,EMEP1403_PREV2_4.BNX,7.673521320125757,34.51,9.980,21.28,,,
EMEP1403_PREV2_5,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ucb_gauss,EMEP1403_PREV2_5.BNX,7.468624334078229,34.47,6.593,22.53,,,
EMEP1403_PREV2_6,GLUE,melhor_configuracao_GLUE.csv,IP200_IT300_poi_matern3_2,EMEP1403_PREV2_6.BNX,7.447954187031983,34.43,10.44,19.16,,,
EMEP1403_PREV2_8,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_matern5_2,EMEP1403_PREV2_8.BNX,1.1324683515306757,34.49,8.162,21.97,,,
EMEP1403_PREV2_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ei_exp,EMEP1403_PREV2_9.BNX,7.728638054156076,34.50,11.58,18.73,,,
EMEP1403_PREV3_4,GLUE,melhor_configuracao_GLUE.csv,IP200_IT300_ucb_matern3_2,EMEP1403_PREV3_4.BNX,7.29662127202084,34.51,12.93,16.60,,,
EMEP1403_PREV3_5,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_poi_exp,EMEP1403_PREV3_5.BNX,7.126815925150691,33.77,8.726,20.20,,,
EMEP1403_PREV3_6,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ucb_matern5_2,EMEP1403_PREV3_6.BNX,7.244815474683808,33.09,12.98,16.92,,,
EMEP1403_PREV3_8,GLUE,melhor_configuracao_GLUE.csv,IP200_IT300_ucb_matern3_2,EMEP1403_PREV3_8.BNX,1.0158527636665513,34.52,8.234,21.07,,,
