RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,linha_resumo,etapa,bnx_mais_importante,simulacao_escolhida,pasta_saida,arquivo_origem,bnx_train,euclidiana,euclidiana_treinamento,euclidiana_teste,param_EMFL,param_FLSH,param_FLSD,param_SDPM,param_FLLF,param_LFMAX,param_SLAVR,param_SIZLF,param_WTPSD,param_SFDUR,param_SDPDV,param_PODUR,param_THRSH
1,EMEP1403BN,1,1,BN,40,35,42,42,47,56,65,72,1893,1605,2450,2313,1161,1090,0.1630,0.15,4.05,5.49,3377,3202,1480,-99,3.65,4.18,0.561,0.50,77.26,70.4,67,-99,89,-99,9,-99,3.52,-99,1265,1409,41,-99,11.97,-99,3.12,-99,0.94,-99,74,-99,4,-99,-99,bestcfg_0024_pos_treinamento_EMEP1403_PREV1_4_5,24,pos_treinamento,EMEP1403_PREV1_4_5.BNX,IP100_IT300_ei_matern3_2,EMEP1403_PREV1_4_5,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_4_5.BNX,,5.253198706839392,1.0751554981266858,29.530030797217105,2.1903076226747378,6.0,14.0,22.27031665621267,0.98,297.4833123775034,140.15054746681164,0.22,13.82750399768304,4.04677262399487,4.0,78.0
2,EMEP1403BN,4,1,BN,43,50,46,54,51,64,68,82,1953,4004,2519,3178,1279,1062,0.1527,0.23,4.05,5.31,3428,5302,1480,-99,3.03,4.92,0.570,-99,77.51,78.2,70,-99,89,-99,7,-99,3.57,-99,1091,2161,40,-99,11.89,-99,3.17,-99,0.88,-99,77,-99,4,-99,-99,bestcfg_0024_pos_treinamento_EMEP1403_PREV1_4_5,24,pos_treinamento,EMEP1403_PREV1_4_5.BNX,IP100_IT300_ei_matern3_2,EMEP1403_PREV1_4_5,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_4_5.BNX,,5.253198706839392,1.0751554981266858,29.530030797217105,2.1903076226747378,6.0,14.0,22.27031665621267,0.98,297.4833123775034,140.15054746681164,0.22,13.82750399768304,4.04677262399487,4.0,78.0
3,EMEP1403BN,5,1,BN,38,51,41,54,45,68,63,90,2101,3993,2723,5140,1454,1964,0.1445,0.19,4.05,4.96,3753,5002,1650,-99,3.92,5.67,0.560,-99,77.18,77.6,73,-99,96,-99,9,-99,3.49,-99,1356,2306,45,-99,12.63,-99,3.26,-99,1.09,-99,72,-99,4,-99,-99,bestcfg_0024_pos_treinamento_EMEP1403_PREV1_4_5,24,pos_treinamento,EMEP1403_PREV1_4_5.BNX,IP100_IT300_ei_matern3_2,EMEP1403_PREV1_4_5,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_4_5.BNX,,5.253198706839392,1.0751554981266858,29.530030797217105,2.1903076226747378,6.0,14.0,22.27031665621267,0.98,297.4833123775034,140.15054746681164,0.22,13.82750399768304,4.04677262399487,4.0,78.0
1,EMEP1403BN,1,1,BN,46,35,51,42,56,56,85,72,2530,1605,3301,2313,1544,1090,0.1638,0.15,4.88,5.49,4504,3202,1970,-99,4.64,4.18,0.562,0.50,76.66,70.4,90,-99,121,-99,13,-99,3.57,-99,1832,1409,60,-99,13.86,-99,2.92,-99,1.21,-99,94,-99,4,-99,-99,bestcfg_0025_GLUE_EMEP1403_PREV1_4_6,25,GLUE,EMEP1403_PREV1_4_6.BNX,IP100_IT300_ei_matern3_2,EMEP1403_PREV1_4_6,melhor_configuracao_treinamento.csv,,3.872581906487298,,,34.81,4.0,7.719,22.67,18.0,0.95,317.2,140.9,0.236,11.22,4.876,4.36,78.0
2,EMEP1403BN,4,1,BN,50,50,55,54,59,64,86,82,3116,4004,3970,3178,1833,1062,0.1700,0.23,4.88,5.31,5537,5302,2420,-99,4.21,4.92,0.563,-99,78.49,78.2,115,-99,147,-99,14,-99,3.70,-99,1754,2161,61,-99,13.69,-99,3.03,-99,1.09,-99,95,-99,4,-99,-99,bestcfg_0025_GLUE_EMEP1403_PREV1_4_6,25,GLUE,EMEP1403_PREV1_4_6.BNX,IP100_IT300_ei_matern3_2,EMEP1403_PREV1_4_6,melhor_configuracao_treinamento.csv,,3.872581906487298,,,34.81,4.0,7.719,22.67,18.0,0.95,317.2,140.9,0.236,11.22,4.876,4.36,78.0
3,EMEP1403BN,6,1,BN,46,55,51,67,55,74,83,91,3156,4340,3992,5358,1788,3157,0.1765,0.19,4.88,4.95,6001,4261,2850,-99,5.10,5.00,0.526,-99,79.06,74.9,114,-99,151,-99,19,-99,3.61,-99,2054,1849,67,-99,14.52,-99,3.10,-99,1.34,-99,92,-99,4,-99,-99,bestcfg_0025_GLUE_EMEP1403_PREV1_4_6,25,GLUE,EMEP1403_PREV1_4_6.BNX,IP100_IT300_ei_matern3_2,EMEP1403_PREV1_4_6,melhor_configuracao_treinamento.csv,,3.872581906487298,,,34.81,4.0,7.719,22.67,18.0,0.95,317.2,140.9,0.236,11.22,4.876,4.36,78.0
1,EMEP1403BN,1,1,BN,46,35,49,42,54,56,73,72,2129,1605,2781,2313,1397,1090,0.1523,0.15,5.00,5.49,4288,3202,2160,-99,5.23,4.18,0.496,0.50,76.54,70.4,74,-99,104,-99,15,-99,3.48,-99,1868,1409,62,-99,13.62,-99,3.13,-99,1.20,-99,82,-99,4,-99,-99,bestcfg_0026_pos_treinamento_EMEP1403_PREV1_4_6,26,pos_treinamento,EMEP1403_PREV1_4_6.BNX,IP200_IT300_ucb_matern3_2,EMEP1403_PREV1_4_6,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_4_6.BNX,,4.95716222427289,1.088701803798722,35.0,2.0,6.0,14.0,34.0,0.98,348.90077557146327,140.59792084111533,0.22,11.0,5.0,4.0,78.0
2,EMEP1403BN,4,1,BN,50,50,52,54,57,64,74,82,1748,4004,2264,3178,1213,1062,0.1441,0.23,5.00,5.31,4246,5302,2500,-99,4.67,4.92,0.412,-99,77.22,78.2,62,-99,92,-99,18,-99,3.54,-99,1784,2161,62,-99,13.45,-99,3.24,-99,1.07,-99,83,-99,4,-99,-99,bestcfg_0026_pos_treinamento_EMEP1403_PREV1_4_6,26,pos_treinamento,EMEP1403_PREV1_4_6.BNX,IP200_IT300_ucb_matern3_2,EMEP1403_PREV1_4_6,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_4_6.BNX,,4.95716222427289,1.088701803798722,35.0,2.0,6.0,14.0,34.0,0.98,348.90077557146327,140.59792084111533,0.22,11.0,5.0,4.0,78.0
3,EMEP1403BN,6,1,BN,46,55,49,67,54,74,71,91,2606,4340,3323,5358,1747,3157,0.1492,0.19,5.00,4.95,4916,4261,2310,-99,5.75,5.00,0.530,-99,78.42,74.9,93,-99,123,-99,15,-99,3.56,-99,2105,1849,68,-99,14.35,-99,3.22,-99,1.36,-99,80,-99,4,-99,-99,bestcfg_0026_pos_treinamento_EMEP1403_PREV1_4_6,26,pos_treinamento,EMEP1403_PREV1_4_6.BNX,IP200_IT300_ucb_matern3_2,EMEP1403_PREV1_4_6,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_4_6.BNX,,4.95716222427289,1.088701803798722,35.0,2.0,6.0,14.0,34.0,0.98,348.90077557146327,140.59792084111533,0.22,11.0,5.0,4.0,78.0
1,EMEP1403BN,1,1,BN,46,35,51,42,59,56,87,72,2187,1605,3164,2313,1493,1090,0.1465,0.15,4.76,5.49,4393,3202,2210,-99,4.36,4.18,0.498,0.50,69.12,70.4,78,-99,115,-99,15,-99,3.55,-99,1742,1409,57,-99,13.89,-99,2.84,-99,1.19,-99,96,-99,4,-99,-99,bestcfg_0027_GLUE_EMEP1403_PREV1_4_8,27,GLUE,EMEP1403_PREV1_4_8.BNX,IP100_IT300_poi_matern3_2,EMEP1403_PREV1_4_8,melhor_configuracao_treinamento.csv,,0.757074229437692,,,34.75,4.0,9.866,22.21,18.0,0.95,307.5,133.2,0.223,21.33,4.764,12.79,78.0
