pasta_saida,etapa,arquivo_origem,simulacao_escolhida,bnx_mais_importante,euclidiana,EMFL,FLSH,FLSD,SDPM,FLLF,LFMAX,SLAVR,SIZLF,WTPSD,SFDUR,SDPDV,PODUR,THRSH,bnx_train,euclidiana_treinamento,euclidiana_teste
EMEP1403_PREV2_3_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_matern5_2,EMEP1403_PREV2_3_8.BNX,,35.0,5.0,13.0,17.686231811593448,15.53170504615247,0.98,323.24538113992656,133.0,0.22,11.0,5.0,16.0,78.0,EMEP1403_PREV2_3_8.BNX,0.9295723242197538,12.176391362384155
EMEP1403_PREV2_3_9,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_matern3_2,EMEP1403_PREV2_3_9.BNX,3.863984107769944,34.48,4.000,9.921,21.14,18.00,0.950,309.6,134.1,0.240,21.66,4.252,4.672,78.00,,,
EMEP1403_PREV2_3_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_poi_matern3_2,EMEP1403_PREV2_3_9.BNX,,28.98085208245617,3.76746418095155,7.97273440494586,16.167164518836938,18.13088013915716,0.9931171423620871,348.56440122274,170.12079041397922,0.2203487762074312,12.31580262056794,4.23425017888596,7.241818221537165,78.0,EMEP1403_PREV2_3_9.BNX,6.178354889401016,0.7771478668447843
EMEP1403_PREV2_4_5,GLUE,melhor_configuracao_treinamento.csv,IP100_IT300_ei_exp,EMEP1403_PREV2_4_5.BNX,3.889111356937441,33.73,4.000,11.06,19.11,18.00,0.950,331.9,134.4,0.227,18.84,4.053,15.12,78.00,,,
EMEP1403_PREV2_4_5,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_ei_exp,EMEP1403_PREV2_4_5.BNX,,28.95974032110381,3.718158769479266,8.025792238795484,16.146085571579903,18.14937435701743,0.9928434791015764,348.473866338234,170.1430278155952,0.2209756104310402,12.361509798688358,4.258668390551048,7.269176008626317,78.0,EMEP1403_PREV2_4_5.BNX,6.481570265686211,1.0766515042075595
EMEP1403_PREV2_4_6,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_gauss,EMEP1403_PREV2_4_6.BNX,3.861497176088117,33.82,4.000,6.625,23.30,18.00,0.950,303.2,134.1,0.222,14.59,4.946,6.344,78.00,,,
EMEP1403_PREV2_4_6,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_ei_exp,EMEP1403_PREV2_4_6.BNX,,28.95974032110381,3.718158769479266,8.025792238795484,16.146085571579903,18.14937435701743,0.9928434791015764,348.473866338234,170.1430278155952,0.2209756104310402,12.361509798688358,4.258668390551048,7.269176008626317,78.0,EMEP1403_PREV2_4_6.BNX,6.454088527286613,1.1224544015402218
EMEP1403_PREV2_4_8,GLUE,melhor_configuracao_treinamento.csv,IP100_IT300_poi_exp,EMEP1403_PREV2_4_8.BNX,0.7857657545172669,34.48,4.000,10.42,20.78,18.00,0.950,344.6,136.7,0.225,20.61,3.829,13.60,78.00,,,
EMEP1403_PREV2_4_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ucb_gauss,EMEP1403_PREV2_4_8.BNX,,35.0,5.0,13.0,17.35808898726036,14.261403130738008,0.98,319.31384820433607,137.59322185615343,0.22,12.937147765596585,5.0,16.0,78.0,EMEP1403_PREV2_4_8.BNX,0.7871078414166617,12.767724579113104
EMEP1403_PREV2_4_9,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_ei_gauss,EMEP1403_PREV2_4_9.BNX,3.903719740273288,34.51,4.000,10.32,21.12,18.00,0.950,345.3,133.0,0.224,19.86,4.941,13.53,78.00,,,
EMEP1403_PREV2_4_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_poi_gauss,EMEP1403_PREV2_4_9.BNX,,30.417035659369013,3.5687121788377625,8.957309903726072,15.815247630708656,17.47765268301267,1.0,350.0,170.1724054556743,0.22,11.0,3.868872281962956,5.921241379877617,78.0,EMEP1403_PREV2_4_9.BNX,5.852199925021255,0.8436367376275262
EMEP1403_PREV2_5_6,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_matern5_2,EMEP1403_PREV2_5_6.BNX,3.551342358580532,33.76,4.000,7.617,20.29,18.00,0.950,335.7,134.0,0.239,14.26,4.640,6.414,78.00,,,
EMEP1403_PREV2_5_6,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_matern5_2,EMEP1403_PREV2_5_6.BNX,,35.0,2.0,6.0,14.0,23.088605445980704,0.98,338.54698037975606,155.52262229180954,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV2_5_6.BNX,4.996876746924345,1.1059078660230532
EMEP1403_PREV2_5_8,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_matern5_2,EMEP1403_PREV2_5_8.BNX,0.7913254259863145,34.48,4.000,6.171,24.33,18.00,0.950,335.2,138.7,0.225,19.55,4.401,5.755,78.00,,,
EMEP1403_PREV2_5_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_matern5_2,EMEP1403_PREV2_5_8.BNX,,35.0,5.0,13.0,14.0,34.0,1.0,271.5407216955725,147.8933990277556,0.22,11.0,5.0,16.0,78.0,EMEP1403_PREV2_5_8.BNX,0.8284825392701048,11.586937844310969
EMEP1403_PREV2_5_9,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_matern3_2,EMEP1403_PREV2_5_9.BNX,3.815063651663194,34.47,4.000,8.093,22.11,18.00,0.950,320.4,135.2,0.220,20.27,3.728,15.08,78.00,,,
EMEP1403_PREV2_5_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ei_matern3_2,EMEP1403_PREV2_5_9.BNX,,35.0,2.0,6.0,14.0,34.0,0.98,350.0,141.1384421001795,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV2_5_9.BNX,5.100145262559748,0.8811849892925729
