*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2015 162    60    0.0   11.0   11.9   15.2   30.4   0.27   28.3   15.6   21.5   23.9   15.6   21.5   23.9   86.4  400.5   0.00   0.00
 2015 163    61    0.0   11.0   11.9   13.2   26.4   0.36   27.7   16.8   21.9   23.9   16.8   21.9   23.9   86.4  400.5   0.00   0.00
 2015 164    62    0.0   11.0   11.9   15.0   30.0   0.27   28.7   14.7   21.2   23.9   14.7   21.2   23.9   86.4  400.5   0.00   0.00
 2015 165    63    0.0   11.0   11.9   15.2   30.4   0.26   28.8   14.2   21.0   23.7   14.2   21.0   23.7   86.4  400.5   0.00   0.00
 2015 166    64    0.0   11.0   11.9   14.9   29.8   0.28   29.0   15.6   21.8   24.4   15.6   21.8   24.4   86.4  400.7   0.00   0.00
 2015 167    65    0.0   11.0   11.9   13.5   27.0   0.34   28.8   14.9   21.4   24.0   14.9   21.4   24.0   86.4  400.7   0.00   0.00
 2015 168    66    0.0   11.0   11.9   11.6   23.2   0.44   28.6   16.1   21.9   24.3   16.1   21.9   24.3   86.4  400.7   0.00   0.00
 2015 169    67    0.0   11.0   11.9   13.4   26.8   0.35   28.7   15.7   21.8   24.2   15.7   21.8   24.2   86.4  400.7   0.00   0.00
 2015 170    68    0.0   11.0   11.9   13.6   27.2   0.34   27.2   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.7   0.00   0.00
 2015 171    69    0.0   11.0   11.9   12.9   25.8   0.37   25.9   12.5   18.7   21.3   12.5   18.7   21.3   86.4  400.7   0.00   0.00
 2015 172    70    0.0   11.0   11.9   14.0   28.0   0.32   24.3   14.8   19.2   21.0   14.8   19.2   21.0   86.4  400.7   0.00   0.00

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2015 126     1   23.2   11.3   12.2    8.7   17.4   0.62   26.6   16.1   21.0   23.1   16.1   21.0   23.1   86.4  400.3   0.00   0.00
 2015 127     2    0.4   11.3   12.2   16.2   32.4   0.30   27.7   15.8   21.4   23.7   15.8   21.4   23.7   86.4  400.3   0.00   0.00
 2015 128     3    0.0   11.3   12.2   14.5   29.0   0.37   28.4   17.2   22.5   24.6   17.2   22.5   24.6   86.4  400.3   0.00   0.00
 2015 129     4    0.0   11.3   12.2   13.5   27.0   0.41   26.5   16.3   21.1   23.0   16.3   21.1   23.0   86.4  400.3   0.00   0.00
 2015 130     5    0.0   11.3   12.2   16.4   32.8   0.28   28.2   15.4   21.4   23.9   15.4   21.4   23.9   86.4  400.3   0.00   0.00
 2015 131     6   34.0   11.3   12.2    4.6    9.2   0.80   21.4   15.8   18.4   19.5   15.8   18.4   19.5   86.4  400.3   0.00   0.00
 2015 132     7    0.0   11.3   12.2    9.0   18.0   0.60   22.3   17.2   19.6   20.6   17.2   19.6   20.6   86.4  400.3   0.00   0.00
 2015 133     8    0.2   11.3   12.1   10.9   21.8   0.51   24.8   15.6   19.9   21.7   15.6   19.9   21.7   86.4  400.3   0.00   0.00
 2015 134     9    0.0   11.2   12.1   12.9   25.8   0.42   26.9   14.2   20.2   22.6   14.2   20.2   22.6   86.4  400.3   0.00   0.00
 2015 135    10    0.0   11.2   12.1   12.1   24.2   0.46   26.2   13.4   19.4   21.8   13.4   19.4   21.8   86.4  400.5   0.00   0.00
 2015 136    11    0.0   11.2   12.1   10.0   20.0   0.55   24.9   14.1   19.2   21.2   14.1   19.2   21.2   86.4  400.5   0.00   0.00
 2015 137    12    0.0   11.2   12.1   15.7   31.4   0.29   27.0   15.1   20.7   22.9   15.1   20.7   22.9   86.4  400.5   0.00   0.00
 2015 138    13    0.0   11.2   12.1   14.3   28.6   0.35   27.5   16.1   21.4   23.6   16.1   21.4   23.6   86.4  400.5   0.00   0.00
