simulacao,EUCLIDIANA_GERAL,EUCLIDIANA_ADAP,EUCLIDIANA_PD1P,EUCLIDIANA_PDFP,EUCLIDIANA_MDAP,EUCLIDIANA_HWAM,EUCLIDIANA_PWAM,EUCLIDIANA_HWUM,EUCLIDIANA_H#AM,EUCLIDIANA_H#UM,EUCLIDIANA_THAM,EUCLIDIANA_LAIX,EUCLIDIANA_HIAM
IP100_IT100_ucb_matern3_2,5.226405432154457,0.20770307084951262,0.19484600911071498,0.31339789043474253,0.2743722370778525,0.3576874285343258,4.653739532711898,0.17246056317263753,0.22073137781761298,0.06010429216890899,0.029332937225760674,0.5214402547420335,0.5002523484930217
IP100_IT100_ucb_matern5_2,5.7897878158010245,0.14280406506141635,0.2057575050222109,0.2638069996184448,0.2348376234592911,0.25150464332964256,5.2635665961758615,0.13534129441250178,0.16823172090844687,0.06010429216890899,0.02715392048763981,0.4381932463176006,0.4832285971158342
IP100_IT300_ei_exp,4.132406226528412,0.2643812688541945,0.308559191353309,0.351520177615254,0.2975522422998316,0.48342253785239225,3.4999949748359036,0.12585286746277452,0.4461048942267463,0.06010429216890899,0.06194471036182838,0.5358460283856277,0.48681144228998363
IP100_IT300_ei_gauss,5.114789523307423,0.1727057403137695,0.19841743768214357,0.26982509916595604,0.237276647849535,0.27566174078329686,4.572935297475896,0.19512722983930408,0.3916428465233413,0.06010429216890899,0.06703496144998804,0.2813218760727657,0.5072399044932003
IP100_IT300_ei_matern3_2,3.872581906487298,0.2862797428260354,0.297052457346575,0.367214032014791,0.3091422449108212,0.43091922261381843,3.2101177086554586,0.11218251511130761,0.38930301982222926,0.38654612035082847,0.06194611488362067,0.508430582343893,0.44085918348442893
IP100_IT300_ei_matern5_2,5.221558905862599,0.1508072663419286,0.2057575050222109,0.2759920820881572,0.24420540384805842,0.2754839881709875,4.677201242832963,0.21552911690992188,0.40012440509792346,0.06010429216890899,0.06748011137802071,0.2394153785533862,0.5153248305691502
IP100_IT300_poi_exp,5.9303388179748175,0.1508072663419286,0.17584627790510143,0.2446043732890832,0.20006761562632236,0.23918329907315333,5.40252460443129,0.13527996461742586,0.28316153844432346,0.07108992594210897,0.06386560029821016,0.44620659003769775,0.5098550572070908
IP100_IT300_poi_gauss,5.9303388179748175,0.1508072663419286,0.17584627790510143,0.2446043732890832,0.20006761562632236,0.23918329907315333,5.40252460443129,0.13527996461742586,0.28316153844432346,0.07108992594210897,0.06386560029821016,0.44620659003769775,0.5098550572070908
IP100_IT300_poi_matern3_2,5.097308476545017,0.1727057403137695,0.19841743768214357,0.2638069996184448,0.23261540123706886,0.2975447378242616,4.547793436475886,0.1914462627156125,0.41104133888962024,0.16570272367712674,0.06867850914114085,0.240087395322979,0.5416347106843601
IP100_IT300_poi_matern5_2,5.179956540961742,0.1508072663419286,0.17167961123843475,0.2541312447664191,0.22102539862607928,0.2730964420737095,4.653407385495521,0.185016659295297,0.3699486538644657,0.1288954908981765,0.06507780955334308,0.22921340455022002,0.5423948101143051
IP100_IT300_ucb_exp,4.992247128100491,0.19068264565815948,0.17584627790510143,0.3012128079650301,0.26278223446686294,0.32784503738363285,4.449046847963849,0.13203921568627447,0.3234601478695296,0.06010429216890899,0.06320233066409438,0.4455179890897628,0.48813783470697925
IP100_IT300_ucb_gauss,5.025088889100214,0.1468856977144776,0.13784681549387431,0.26982509916595604,0.237276647849535,0.36205748103708274,4.433142248958183,0.20941146985109832,0.4716165602828659,0.06010429216890899,0.06840997138678932,0.43438238054752987,0.5654770067706953
IP100_IT300_ucb_matern3_2,4.06183150545832,0.2691431736160993,0.3196885521885522,0.3575382771627653,0.3045390703076466,0.43566830796492273,3.4154503954655184,0.11369777384638065,0.4018754004298401,0.06010429216890899,0.06646227824541745,0.5727356299767962,0.48318045924778047
IP100_IT300_ucb_matern5_2,4.584831513354709,0.1727057403137695,0.23284547152194213,0.288744760017106,0.25119223185587336,0.3306783111810223,4.034410705483295,0.14500014742739195,0.3498917518395785,0.06010429216890899,0.06157107542509497,0.4506677124152021,0.4951614705693247
