simulacao,EUCLIDIANA_GERAL,EUCLIDIANA_ADAP,EUCLIDIANA_PD1P,EUCLIDIANA_PDFP,EUCLIDIANA_MDAP,EUCLIDIANA_HWAM,EUCLIDIANA_PWAM,EUCLIDIANA_HWUM,EUCLIDIANA_H#AM,EUCLIDIANA_H#UM,EUCLIDIANA_THAM,EUCLIDIANA_LAIX,EUCLIDIANA_HIAM
IP100_IT300_poi_matern5_2,0.9080081893828676,0.14859169199594732,0.1285273368606702,0.18100961538461538,0.08772662339026492,0.3422443081321586,0.2412121564321653,0.3186962205171924,0.12120147473843279,0.17700674526754723,0.07195855716167582,0.12646538886816772,0.4600354267310789
IP100_IT300_ucb_exp,1.1290082021450558,0.19548125633232016,0.25903880070546736,0.3164491758241758,0.2383852229995168,0.3772305381534354,0.3922216631325295,0.20439727195225918,0.2766938963966124,0.07584906961263604,0.07514473756076247,0.4635242149400572,0.4279136290440639
IP100_IT300_ucb_gauss,0.9014230361799096,0.14859169199594732,0.14484126984126985,0.2247481684981685,0.15908541837356358,0.2763912165197212,0.28693476272680024,0.24537993748223927,0.15900318912819048,0.07584906961263604,0.05909519467034622,0.32477918792072175,0.42245981554677203
IP100_IT300_ucb_matern3_2,0.9799685065841146,0.14859169199594732,0.12014991181657848,0.22987637362637361,0.16778008865359972,0.2586384215473001,0.30648248678740303,0.34749928957090087,0.3122693299457375,0.07584906961263604,0.07064548058342765,0.25552149906525806,0.45616425120772947
IP100_IT300_ucb_matern5_2,1.0146421714809801,0.15525835866261398,0.15873015873015872,0.23508470695970696,0.08385065439801685,0.3616432697624286,0.15521274247881434,0.1857817561807332,0.3051726129449272,0.41354399900300276,0.06741460973695526,0.3304653124243348,0.4375242277850973
IP200_IT300_ei_exp,0.9843936514223328,0.14859169199594732,0.14484126984126985,0.21879578754578755,0.15908541837356358,0.3113463704001087,0.3577577137602938,0.25963626030122194,0.2481332814580316,0.07584906961263604,0.07794493449030544,0.3497895209742978,0.4419486166007905
IP200_IT300_ei_gauss,0.9641820044544288,0.15102330293819655,0.138668430335097,0.21879578754578755,0.1552094493813155,0.32942792539755156,0.35656011654164943,0.1862512077294686,0.1891140718100461,0.07584906961263604,0.07230309346177836,0.39158558916795966,0.4691045234958278
IP200_IT300_ei_matern3_2,0.8710619445122143,0.15102330293819655,0.138668430335097,0.2135874542124542,0.1552094493813155,0.2845809045575401,0.33466072243910117,0.2059090650753055,0.1746851509780881,0.07584906961263604,0.08102290577950709,0.14966592265290948,0.47119499341238463
IP200_IT300_ei_matern5_2,0.9234299887443562,0.15282674772036475,0.16490299823633156,0.24616529304029303,0.17553202663809583,0.31634924654784463,0.296637818793316,0.18676953680022734,0.19923496689146783,0.07584906961263604,0.0675976506969617,0.3081715745387119,0.46666081100863704
IP200_IT300_poi_exp,1.0653311024487404,0.24204660587639312,0.21891534391534392,0.3216575091575092,0.24301485262914646,0.2830541862083918,0.32365159896542156,0.25998920147769256,0.23595239661006842,0.07584906961263604,0.07308609125633579,0.4402127655607481,0.429358219879959
IP200_IT300_poi_gauss,0.8731634968652252,0.17929078014184396,0.1728395061728395,0.24103708791208792,0.1254385412071175,0.2903405200718285,0.1875007528497846,0.2234248366013072,0.06610552166693744,0.10858687848456432,0.06285973973468628,0.35342717110443456,0.3899912165129557
IP200_IT300_poi_matern3_2,1.072660727306597,0.2815197568389058,0.2451499118165785,0.3327380952380952,0.23044421335686227,0.2943245876657092,0.31985338744639574,0.17655413469735717,0.1640993701135707,0.07584906961263604,0.062257373126070104,0.46137465588622173,0.47406543697848047
IP200_IT300_poi_matern5_2,1.0139683888663416,0.23495440729483286,0.21891534391534392,0.3164491758241758,0.23450925400726874,0.2830708556759958,0.31604155572621534,0.17369764137539076,0.15985976155944573,0.07584906961263604,0.06362592814080724,0.4318907483724117,0.42603806177719217
IP200_IT300_ucb_exp,0.9313511382082064,0.15102330293819655,0.14484126984126985,0.21879578754578755,0.1552094493813155,0.322525838647334,0.36915665757534694,0.20383688547882928,0.21775171263524606,0.07584906961263604,0.08055300725771056,0.26097430885495015,0.4704090177133655
IP200_IT300_ucb_gauss,0.9800305295030317,0.14859169199594732,0.15277777777777776,0.22987637362637361,0.15908541837356358,0.3130829645432449,0.36044943718287464,0.2664239840863882,0.2512079188221479,0.07584906961263604,0.0801220415638262,0.30618119578324965,0.44776167471819645
IP200_IT300_ucb_matern3_2,0.9763526528358861,0.14859169199594732,0.14484126984126985,0.2247481684981685,0.15908541837356358,0.3129702592319415,0.36029344551754755,0.26559249786871275,0.2521414756101596,0.07584906961263604,0.08016743699830553,0.2971366275879352,0.4464350753915971
IP200_IT300_ucb_matern5_2,1.1306369203068976,0.22543059777102328,0.28527336860670194,0.3379464285714286,0.13469780046637675,0.39540834943872327,0.4426786518845094,0.17272009093492466,0.31755299574488527,0.07584906961263604,0.07627368129229516,0.43549854557556733,0.450379007465964
