*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 2015 161    59   363    97     27    134    134    14   235    90    0.04   0.0   0.0   0.00   0.405   0.401   0.405   0.422   0.404   0.399   0.397   0.397   0.397
 2015 162    60   357    91     27    137    134    14   235    90    0.04   0.0   0.0   0.00   0.386   0.390   0.390   0.411   0.401   0.398   0.397   0.397   0.397
 2015 163    61   376   110     27    137    134    15   257    90    0.04   0.0   0.0   0.00   0.427   0.419   0.423   0.438   0.440   0.414   0.401   0.398   0.396
 2015 164    62   366   100     27    144    134    15   257    90    0.04   0.0   0.0   0.00   0.402   0.401   0.404   0.422   0.426   0.408   0.399   0.397   0.397
 2015 165    63   359    93     27    147    134    15   257    90    0.03   0.0   0.0   0.00   0.384   0.390   0.390   0.411   0.415   0.404   0.398   0.397   0.397
 2015 166    64   354    88     27    149    134    15   257    90    0.03   0.0   0.0   0.00   0.371   0.383   0.380   0.404   0.408   0.401   0.397   0.397   0.397
 2015 167    65   362    96     27    149    134    16   268    90    0.03   0.0   0.0   0.00   0.429   0.409   0.382   0.401   0.405   0.402   0.399   0.396   0.396
 2015 168    66   357    92     27    151    134    16   268    90    0.03   0.0   0.0   0.00   0.404   0.395   0.379   0.399   0.402   0.400   0.398   0.397   0.397
 2015 169    67   353    88     27    152    134    16   268    90    0.03   0.0   0.0   0.00   0.384   0.386   0.376   0.397   0.399   0.399   0.397   0.397   0.397
 2015 170    68   350    85     27    152    134    16   268    90    0.03   0.0   0.0   0.00   0.370   0.381   0.373   0.394   0.398   0.398   0.396   0.396   0.396
 2015 171    69   347    82     27    152    134    16   268    90    0.03   0.0   0.0   0.00   0.356   0.375   0.369   0.392   0.397   0.398   0.396   0.396   0.396
 2015 172    70   354    89     27    152    134    17   278    90    0.03   0.0   0.0   0.00   0.428   0.387   0.366   0.388   0.395   0.397   0.395   0.395   0.395
 2015 173    71   352    86     27    152    134    17   278    90    0.02   0.0   0.0   0.00   0.399   0.382   0.377   0.387   0.394   0.396   0.394   0.394   0.394
 2015 174    72   349    83     27    152    134    17   278    90    0.02   0.0   0.0   0.00   0.377   0.383   0.375   0.385   0.392   0.394   0.393   0.393   0.393
 2015 175    73   346    80     27    152    134    17   278    90    0.02   0.0   0.0   0.00   0.368   0.377   0.371   0.384   0.391   0.394   0.392   0.392   0.392
 2015 176    74   343    77     27    152    134    17   278    90    0.02   0.0   0.0   0.00   0.352   0.370   0.366   0.382   0.390   0.393   0.392   0.392   0.392
 2015 177    75   350    85     27    152    134    18   288    90    0.02   0.0   0.0   0.00   0.426   0.384   0.362   0.379   0.388   0.392   0.391   0.391   0.391
 2015 178    76   348    82     27    152    134    18   288    90    0.01   0.0   0.0   0.00   0.397   0.382   0.372   0.378   0.387   0.391   0.389   0.389   0.389
 2015 179    77   345    79     27    152    134    18   288    90    0.01   0.0   0.0   0.00   0.377   0.383   0.370   0.376   0.386   0.390   0.388   0.388   0.388
 2015 180    78   341    76     27    152    134    18   288    90    0.01   0.0   0.0   0.00   0.365   0.376   0.365   0.374   0.384   0.389   0.387   0.387   0.387
 2015 181    79   339    73     27    152    134    18   288    90    0.01   0.0   0.0   0.00   0.351   0.370   0.361   0.373   0.383   0.389   0.387   0.387   0.387
 2015 182    80   337    71     27    152    134    18   288    90    0.01   0.0   0.0   0.00   0.340   0.365   0.358   0.372   0.383   0.389   0.387   0.387   0.387
 2015 183    81   335    69     27    152    134    18   288    90    0.01   0.0   0.0   0.00   0.332   0.361   0.356   0.371   0.382   0.389   0.387   0.387   0.387
 2015 184    82   333    68     27    152    134    18   288    90    0.01   0.0   0.0   0.00   0.324   0.357   0.353   0.370   0.382   0.388   0.387   0.387   0.387
 2015 185    83   332    66     27    152    134    18   288    90    0.01   0.0   0.0   0.00   0.317   0.354   0.351   0.368   0.381   0.388   0.387   0.387   0.387
 2015 186    84   331    65     27    152    134    18   288    90    0.01   0.0   0.0   0.00   0.310   0.351   0.348   0.367   0.381   0.388   0.387   0.387   0.387
 2015 187    85   329    64     27    152    134    18   288    90    0.04   0.0   0.0   0.00   0.304   0.348   0.346   0.366   0.380   0.388   0.387   0.387   0.387
 2015 188    86   328    63     27    152    134    18   288    90    0.05   0.0   0.0   0.00   0.299   0.346   0.345   0.366   0.380   0.388   0.387   0.387   0.387
 2015 189    87   329    64     27    152    136    18   288    90    0.49   0.0   0.0   0.00   0.311   0.346   0.344   0.365   0.379   0.388   0.387   0.387   0.387
 2015 190    88   328    63     27    152    136    18   288    90    0.36   0.0   0.0   0.00   0.304   0.343   0.342   0.364   0.379   0.388   0.386   0.387   0.387
 2015 191    89   327    61     27    152    136    18   288    90    0.25   0.0   0.0   0.00   0.298   0.341   0.341   0.363   0.378   0.388   0.386   0.387   0.387
 2015 192    90   326    60     27    152    136    18   288    90    0.18   0.0   0.0   0.00   0.293   0.339   0.339   0.362   0.378   0.388   0.386   0.387   0.387
 2015 193    91   325    59     27    152    136    18   288    90    0.13   0.0   0.0   0.00   0.287   0.337   0.338   0.362   0.377   0.388   0.386   0.386   0.387

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 2015 125     0   353    88      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.377   0.387   0.380   0.398   0.398   0.398   0.398   0.398   0.398
 2015 126     1   383   118     11      0     23     1    20    45    0.00   0.0   0.0  10.90   0.457   0.422   0.427   0.439   0.439   0.439   0.412   0.401   0.398
 2015 127     2   379   114     11      0     24     1    20    90    0.00   0.0   0.0   0.00   0.422   0.417   0.423   0.437   0.436   0.436   0.418   0.404   0.399
 2015 128     3   368   103     11      8     24     1    20    90    0.00   0.0   0.0   0.00   0.405   0.405   0.406   0.422   0.421   0.421   0.408   0.399   0.395
 2015 129     4   361    95     11     12     24     1    20    90    0.00   0.0   0.0   0.00   0.393   0.396   0.395   0.411   0.411   0.411   0.402   0.396   0.395
 2015 130     5   378   112     11     12     24     2    40    90    0.00   0.0   0.0   0.00   0.434   0.421   0.425   0.438   0.438   0.426   0.407   0.397   0.391
 2015 131     6   393   127     24     17     58     2    40    83    0.00   0.0   0.0  12.71   0.434   0.422   0.428   0.440   0.441   0.441   0.441   0.441   0.441
 2015 132     7   379   113     24     29     58     2    40    86    0.00   0.0   0.0   0.00   0.414   0.409   0.411   0.425   0.425   0.425   0.425   0.426   0.426
 2015 133     8   375   109     24     30     58     2    40    86    0.00   0.0   0.0   0.00   0.402   0.407   0.406   0.423   0.422   0.422   0.422   0.422   0.423
 2015 134     9   365   100     24     37     58     2    40    88    0.00   0.0   0.0   0.00   0.391   0.397   0.394   0.412   0.411   0.411   0.412   0.412   0.412
 2015 135    10   382   116     24     37     58     3    60    88    0.00   0.0   0.0   0.00   0.434   0.421   0.426   0.438   0.438   0.427   0.414   0.410   0.409
 2015 136    11   371   105     24     46     58     3    60    89    0.00   0.0   0.0   0.00   0.414   0.408   0.409   0.423   0.423   0.415   0.406   0.404   0.403
 2015 137    12   362    96     24     51     58     3    60    90    0.00   0.0   0.0   0.00   0.398   0.397   0.396   0.412   0.412   0.407   0.400   0.399   0.398
 2015 138    13   356    91     24     54     58     3    60    90    0.00   0.0   0.0   0.00   0.387   0.390   0.388   0.404   0.404   0.401   0.397   0.395   0.395
 2015 139    14   363    97     24     54     59     4    69    90    0.00   0.0   0.0   0.00   0.433   0.420   0.393   0.404   0.402   0.399   0.395   0.392   0.391
 2015 140    15   360    95     24     54     60     4    69    90    0.00   0.0   0.0   0.00   0.418   0.417   0.395   0.404   0.400   0.398   0.392   0.389   0.388
 2015 141    16   356    91     24     54     60     4    69    90    0.00   0.0   0.0   0.00   0.400   0.403   0.387   0.399   0.397   0.395   0.395   0.395   0.395
 2015 142    17   373   108     24     54     60     5    89    90    0.00   0.0   0.0   0.00   0.432   0.420   0.425   0.438   0.433   0.404   0.395   0.391   0.391
 2015 143    18   365   100     24     59     60     5    89    90    0.00   0.0   0.0   0.00   0.411   0.406   0.408   0.422   0.419   0.399   0.395   0.395   0.395
 2015 144    19   358    93     24     62     60     5    89    90    0.00   0.0   0.0   0.00   0.395   0.395   0.394   0.411   0.409   0.396   0.395   0.395   0.395
 2015 145    20   354    88     24     62     60     5    89    90    0.00   0.0   0.0   0.00   0.382   0.387   0.385   0.403   0.402   0.395   0.395   0.395   0.395
 2015 146    21   350    85     24     62     60     5    89    90    0.00   0.0   0.0   0.00   0.375   0.382   0.379   0.398   0.398   0.395   0.394   0.391   0.391
 2015 147    22   361    95     24     62     60     6   103    90    0.00   0.0   0.0   0.00   0.432   0.419   0.400   0.402   0.397   0.391   0.391   0.388   0.388
 2015 148    23   357    92     24     62     60     6   103    90    0.00   0.0   0.0   0.00   0.410   0.404   0.389   0.397   0.395   0.395   0.395   0.395   0.393
 2015 149    24   363    97     24     62     60     7   112    90    0.00   0.0   0.0   0.00   0.431   0.419   0.412   0.405   0.396   0.392   0.392   0.392   0.390
 2015 150    25   358    92     24     63     60     7   112    90    0.00   0.0   0.0   0.00   0.408   0.403   0.397   0.399   0.395   0.395   0.395   0.395   0.395
 2015 151    26   354    88     24     63     60     7   112    90    0.00   0.0   0.0   0.00   0.390   0.392   0.386   0.395   0.395   0.395   0.395   0.395   0.395
 2015 152    27   358    93     24     63     60     8   120    90    0.00   0.0   0.0   0.00   0.430   0.408   0.388   0.397   0.391   0.392   0.392   0.392   0.392
 2015 153    28   354    89     24     63     60     8   120    90    0.00   0.0   0.0   0.00   0.406   0.395   0.381   0.395   0.395   0.395   0.395   0.393   0.389
 2015 154    29   351    85     24     63     60     8   120    90    0.00   0.0   0.0   0.00   0.388   0.387   0.377   0.395   0.395   0.395   0.394   0.390   0.386
 2015 155    30   347    82     24     63     60     8   120    90    0.00   0.0   0.0   0.00   0.375   0.382   0.376   0.392   0.392   0.393   0.391   0.387   0.383
 2015 156    31   357    91     24     63     60     9   133    90    0.00   0.0   0.0   0.00   0.430   0.419   0.390   0.395   0.389   0.390   0.388   0.385   0.381
 2015 157    32   353    87     24     63     60     9   133    90    0.00   0.0   0.0   0.00   0.405   0.401   0.382   0.395   0.395   0.395   0.394   0.382   0.378
 2015 158    33   349    84     24     63     60     9   133    90    0.00   0.0   0.0   0.00   0.386   0.390   0.378   0.395   0.395   0.396   0.396   0.380   0.376
 2015 159    34   346    80     24     63     60     9   133    90    0.00   0.0   0.0   0.00   0.373   0.383   0.375   0.394   0.393   0.393   0.393   0.378   0.374
 2015 160    35   360    95     24     63     60    10   151    90    0.01   0.0   0.0   0.00   0.429   0.417   0.423   0.406   0.395   0.391   0.391   0.376   0.372
 2015 161    36   358    92     24     63     60    10   151    90    0.01   0.0   0.0   0.00   0.407   0.403   0.406   0.402   0.396   0.397   0.397   0.397   0.373
 2015 162    37   354    89     24     63     60    10   151    90    0.01   0.0   0.0   0.00   0.389   0.391   0.392   0.398   0.396   0.396   0.396   0.396   0.387
 2015 163    38   367   102     24     63     60    11   167    90    0.01   0.0   0.0   0.00   0.428   0.419   0.423   0.424   0.403   0.397   0.394   0.394   0.386
 2015 164    39   361    95     24     66     60    11   167    90    0.02   0.0   0.0   0.00   0.404   0.402   0.404   0.413   0.400   0.396   0.396   0.396   0.396
 2015 165    40   356    90     24     68     60    11   167    90    0.02   0.0   0.0   0.00   0.386   0.391   0.391   0.405   0.398   0.396   0.396   0.396   0.396
 2015 166    41   352    86     24     68     60    11   167    90    0.03   0.0   0.0   0.00   0.373   0.383   0.381   0.400   0.396   0.396   0.396   0.396   0.396
 2015 167    42   375   109     24     68     60    12   193    90    0.03   0.0   0.0   0.00   0.429   0.418   0.423   0.438   0.440   0.409   0.399   0.396   0.395
 2015 168    43   366   101     24     74     60    12   193    90    0.03   0.0   0.0   0.00   0.406   0.403   0.405   0.423   0.425   0.405   0.398   0.397   0.397
 2015 169    44   359    94     24     78     60    12   193    90    0.03   0.0   0.0   0.00   0.389   0.392   0.392   0.412   0.415   0.402   0.397   0.397   0.397
 2015 170    45   376   111     24     78     60    13   213    90    0.03   0.0   0.0   0.00   0.427   0.419   0.423   0.438   0.440   0.418   0.403   0.398   0.396
 2015 171    46   367   101     24     85     60    13   213    90    0.03   0.0   0.0   0.00   0.404   0.403   0.405   0.423   0.426   0.411   0.400   0.397   0.397
 2015 172    47   360    94     24     88     60    13   213    90    0.04   0.0   0.0   0.00   0.387   0.392   0.392   0.412   0.416   0.406   0.400   0.397   0.397
 2015 173    48   355    90     24     90     60    13   213    90    0.04   0.0   0.0   0.00   0.375   0.385   0.383   0.405   0.409   0.403   0.399   0.397   0.397
 2015 174    49   375   110     24     90     60    14   236    90    0.04   0.0   0.0   0.00   0.428   0.418   0.423   0.438   0.435   0.412   0.402   0.398   0.396
 2015 175    50   366   101     24     97     60    14   236    90    0.04   0.0   0.0   0.00   0.405   0.402   0.405   0.423   0.423   0.407   0.400   0.398   0.397
 2015 176    51   359    94     24    100     60    14   236    90    0.04   0.0   0.0   0.00   0.386   0.391   0.391   0.412   0.413   0.403   0.399   0.397   0.397
 2015 177    52   369   104     24    100     60    15   249    90    0.04   0.0   0.0   0.00   0.428   0.419   0.414   0.417   0.414   0.406   0.401   0.398   0.396
 2015 178    53   362    96     24    105     60    15   249    90    0.03   0.0   0.0   0.00   0.404   0.402   0.398   0.408   0.408   0.403   0.400   0.397   0.397
 2015 179    54   356    91     24    107     60    15   249    90    0.03   0.0   0.0   0.00   0.386   0.391   0.387   0.403   0.404   0.401   0.399   0.397   0.397
 2015 180    55   352    87     24    108     60    15   249    90    0.03   0.0   0.0   0.00   0.371   0.383   0.379   0.399   0.400   0.400   0.398   0.397   0.397
 2015 181    56   374   109     24    108     60    16   274    90    0.03   0.0   0.0   0.00   0.428   0.417   0.423   0.438   0.433   0.409   0.401   0.398   0.396
 2015 182    57   365   100     24    114     60    16   274    90    0.03   0.0   0.0   0.00   0.404   0.400   0.404   0.423   0.421   0.405   0.400   0.397   0.397
 2015 183    58   359    93     24    118     60    16   274    90    0.03   0.0   0.0   0.00   0.386   0.390   0.391   0.412   0.412   0.402   0.399   0.397   0.397
 2015 184    59   367   102     24    118     60    17   286    90    0.03   0.0   0.0   0.00   0.427   0.418   0.405   0.414   0.412   0.405   0.400   0.398   0.396
 2015 185    60   360    94     24    122     60    17   286    90    0.03   0.0   0.0   0.00   0.401   0.400   0.391   0.406   0.406   0.402   0.399   0.397   0.397
 2015 186    61   355    90     24    124     60    17   286    90    0.03   0.0   0.0   0.00   0.384   0.390   0.383   0.401   0.403   0.400   0.398   0.397   0.397
 2015 187    62   353    87     24    124     60    17   286    90    0.03   0.0   0.0   0.00   0.374   0.385   0.378   0.398   0.400   0.399   0.398   0.397   0.397
 2015 188    63   352    86     24    124     60    17   286    90    0.03   0.0   0.0   0.00   0.371   0.382   0.376   0.397   0.400   0.399   0.397   0.397   0.397
 2015 189    64   353    87     24    124     61    17   286    90    0.22   0.0   0.0   0.00   0.383   0.384   0.376   0.397   0.399   0.399   0.397   0.397   0.397
 2015 190    65   351    85     24    124     61    17   286    90    0.19   0.0   0.0   0.00   0.372   0.381   0.372   0.395   0.398   0.398   0.396   0.396   0.396
 2015 191    66   360    94     24    124     61    18   299    90    0.16   0.0   0.0   0.00   0.426   0.416   0.384   0.395   0.396   0.397   0.395   0.395   0.395
 2015 192    67   356    90     24    125     61    18   299    90    0.14   0.0   0.0   0.00   0.400   0.398   0.379   0.396   0.397   0.397   0.397   0.397   0.397
 2015 193    68   352    87     24    125     61    18   299    90    0.12   0.0   0.0   0.00   0.380   0.388   0.376   0.396   0.397   0.397   0.397   0.397   0.397
 2015 194    69   372   106     24    125     61    19   322    90    0.11   0.0   0.0   0.00   0.424   0.416   0.423   0.438   0.422   0.404   0.399   0.396   0.396
 2015 195    70   363    98     24    130     61    19   322    90    0.10   0.0   0.0   0.00   0.400   0.399   0.404   0.422   0.413   0.401   0.398   0.397   0.397
 2015 196    71   357    91     24    133     61    19   322    90    0.08   0.0   0.0   0.00   0.382   0.389   0.390   0.411   0.406   0.400   0.397   0.397   0.397
 2015 197    72   353    87     24    134     61    19   322    90    0.07   0.0   0.0   0.00   0.371   0.383   0.380   0.403   0.402   0.398   0.397   0.397   0.397
 2015 198    73   368   103     24    134     61    20   341    90    0.06   0.0   0.0   0.00   0.428   0.417   0.422   0.421   0.407   0.400   0.397   0.396   0.396
 2015 199    74   361    96     24    138     61    20   341    90    0.05   0.0   0.0   0.00   0.404   0.400   0.403   0.411   0.403   0.399   0.397   0.397   0.397
 2015 200    75   356    90     24    140     61    20   341    90    0.04   0.0   0.0   0.00   0.386   0.390   0.390   0.404   0.400   0.398   0.397   0.397   0.397
 2015 201    76   351    86     24    140     61    20   341    90    0.04   0.0   0.0   0.00   0.370   0.382   0.379   0.399   0.398   0.397   0.397   0.397   0.397
 2015 202    77   348    83     24    140     61    20   341    90    0.03   0.0   0.0   0.00   0.362   0.376   0.373   0.395   0.396   0.395   0.395   0.395   0.395
 2015 203    78   346    80     24    140     61    20   341    90    0.03   0.0   0.0   0.00   0.350   0.371   0.369   0.393   0.395   0.395   0.395   0.395   0.395
 2015 204    79   360    94     24    140     61    21   357    90    0.03   0.0   0.0   0.00   0.433   0.419   0.381   0.392   0.393   0.394   0.394   0.394   0.394
 2015 205    80   356    90     24    140     61    21   357    90    0.02   0.0   0.0   0.00   0.403   0.399   0.377   0.396   0.396   0.396   0.396   0.396   0.396
 2015 206    81   352    87     24    140     61    21   357    90    0.02   0.0   0.0   0.00   0.382   0.388   0.376   0.396   0.396   0.397   0.397   0.396   0.395
