*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2015 171    24   0.003    0.00       9    0.00
 2015 172    25   0.003    0.00       9    0.00
 2015 173    26   0.003    0.00       9    0.00
 2015 174    27   0.003    0.00      10    0.00
 2015 175    28   0.003    0.00      11    0.00
 2015 176    29   0.007    0.00      23    0.00
 2015 177    30   0.013    0.00      40    0.00
 2015 178    31   0.016    0.00      49    0.01
 2015 179    32   0.016    0.00      49    0.01
 2015 180    33   0.016    0.00      49    0.01
 2015 181    34   0.016    0.00      49    0.01
 2015 182    35   0.016    0.00      52    0.01
 2015 183    36   0.017    0.00      54    0.01
 2015 184    37   0.019    0.00      59    0.01
 2015 185    38   0.027    0.00      84    0.01
 2015 186    39   0.031    0.00      98    0.01
 2015 187    40   0.038    0.00     120    0.02
 2015 188    41   0.045    0.00     143    0.02
 2015 189    42   0.052    0.00     166    0.05
 2015 190    43   0.056    0.00     179    0.06
 2015 191    44   0.057    0.00     185    0.06
 2015 192    45   0.063    0.00     204    0.05
 2015 193    46   0.063    0.00     205    0.06
 2015 194    47   0.068    0.00     221    0.05
 2015 195    48   0.076    0.00     246    0.05
 2015 196    49   0.082    0.01     269    0.05
 2015 197    50   0.084    0.01     274    0.05
 2015 198    51   0.090    0.01     293    0.05
 2015 199    52   0.097    0.01     320    0.05
 2015 200    53   0.099    0.01     324    0.05
 2015 201    54   0.103    0.01     338    0.05
 2015 202    55   0.107    0.01     354    0.05
 2015 203    56   0.111    0.01     369    0.05
 2015 204    57   0.116    0.01     386    0.04
 2015 205    58   0.125    0.01     418    0.04
 2015 206    59   0.130    0.01     434    0.04
 2015 207    60   0.134    0.01     450    0.04
 2015 208    61   0.149    0.02     504    0.04
 2015 209    62   0.167    0.02     569    0.05
 2015 210    63   0.172    0.03     591    0.05
 2015 211    64   0.179    0.03     617    0.05
 2015 212    65   0.187    0.03     645    0.05
 2015 213    66   0.194    0.03     674    0.04
 2015 214    67   0.199    0.03     692    0.04
 2015 215    68   0.204    0.04     714    0.04
 2015 216    69   0.209    0.04     735    0.04
 2015 217    70   0.215    0.04     758    0.03
 2015 218    71   0.219    0.04     772    0.03
 2015 219    72   0.225    0.04     796    0.03
 2015 220    73   0.228    0.05     809    0.03
 2015 221    74   0.234    0.05     832    0.02
 2015 222    75   0.236    0.05     843    0.02
 2015 223    76   0.239    0.05     854    0.02
 2015 224    77   0.242    0.05     866    0.02
 2015 225    78   0.249    0.06     895    0.02
 2015 226    79   0.251    0.06     904    0.02
 2015 227    80   0.253    0.06     913    0.02
 2015 228    81   0.256    0.06     922    0.01
 2015 229    82   0.258    0.06     934    0.01
 2015 230    83   0.260    0.06     941    0.01
 2015 231    84   0.262    0.06     948    0.01
 2015 232    85   0.268    0.07     976    0.01
 2015 233    86   0.270    0.07     984    0.01
 2015 234    87   0.302    0.09    1122    0.01
 2015 235    88   0.326    0.10    1231    0.03
 2015 236    89   0.344    0.12    1318    0.05
 2015 237    90   0.358    0.13    1387    0.05
 2015 238    91   0.369    0.14    1441    0.05
 2015 239    92   0.378    0.15    1483    0.55
 2015 240    93   0.384    0.15    1516    0.38
 2015 241    94   0.390    0.16    1542    0.26

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2015 160     0   0.000    0.00       0    0.00
 2015 161     1   0.000    0.00       0    0.00
 2015 162     2   0.000    0.00       0    0.00
 2015 163     3   0.000    0.00       0    0.00
 2015 164     4   0.000    0.00       0    0.00
 2015 165     5   0.000    0.00       0    0.00
 2015 166     6   0.000    0.00       0    0.00
 2015 167     7   0.000    0.00       0    0.00
 2015 168     8   0.000    0.00       0    0.00
 2015 169     9   0.000    0.00       0    0.00
 2015 170    10   0.000    0.00       0    0.00
 2015 171    11   0.000    0.00       0    0.00
 2015 172    12   0.000    0.00       0    0.00
 2015 173    13   0.000    0.00       0    0.00
 2015 174    14   0.000    0.00       0    0.00
 2015 175    15   0.000    0.00       0    0.00
 2015 176    16   0.000    0.00       1    0.00
 2015 177    17   0.000    0.00       1    0.00
 2015 178    18   0.001    0.00       2    0.00
 2015 179    19   0.001    0.00       2    0.00
 2015 180    20   0.001    0.00       2    0.00
 2015 181    21   0.001    0.00       2    0.00
 2015 182    22   0.001    0.00       3    0.00
 2015 183    23   0.001    0.00       4    0.00
 2015 184    24   0.002    0.00       5    0.00
 2015 185    25   0.002    0.00       7    0.00
 2015 186    26   0.003    0.00       9    0.00
 2015 187    27   0.003    0.00       9    0.00
 2015 188    28   0.004    0.00      11    0.00
 2015 189    29   0.004    0.00      11    0.00
 2015 190    30   0.004    0.00      11    0.00
 2015 191    31   0.004    0.00      11    0.00
 2015 192    32   0.005    0.00      16    0.00
 2015 193    33   0.007    0.00      23    0.01
 2015 194    34   0.009    0.00      29    0.01
 2015 195    35   0.015    0.00      47    0.01
 2015 196    36   0.017    0.00      55    0.01
 2015 197    37   0.023    0.00      72    0.01
 2015 198    38   0.029    0.00      93    0.02
 2015 199    39   0.033    0.00     105    0.02
 2015 200    40   0.040    0.00     127    0.02
 2015 201    41   0.047    0.00     149    0.02
 2015 202    42   0.052    0.00     168    0.03
 2015 203    43   0.056    0.00     180    0.03
 2015 204    44   0.061    0.00     196    0.03
 2015 205    45   0.069    0.00     222    0.03
 2015 206    46   0.077    0.00     250    0.04
 2015 207    47   0.077    0.00     250    0.04
 2015 208    48   0.081    0.01     263    0.04
 2015 209    49   0.089    0.01     292    0.04
 2015 210    50   0.090    0.01     295    0.04
 2015 211    51   0.095    0.01     311    0.04
 2015 212    52   0.101    0.01     332    0.04
 2015 213    53   0.109    0.01     361    0.04
 2015 214    54   0.110    0.01     363    0.04
 2015 215    55   0.113    0.01     373    0.04
 2015 216    56   0.118    0.01     392    0.03
 2015 217    57   0.127    0.01     423    0.03
 2015 218    58   0.132    0.01     443    0.04
 2015 219    59   0.138    0.02     463    0.04
 2015 220    60   0.143    0.02     483    0.04
 2015 221    61   0.148    0.02     501    0.04
 2015 222    62   0.154    0.02     521    0.03
 2015 223    63   0.160    0.02     545    0.03
 2015 224    64   0.168    0.02     576    0.03
 2015 225    65   0.173    0.03     593    0.03
 2015 226    66   0.181    0.03     622    0.03
 2015 227    67   0.189    0.03     653    0.03
 2015 228    68   0.195    0.03     679    0.03
 2015 229    69   0.202    0.04     707    0.03
 2015 230    70   0.207    0.04     726    0.03
 2015 231    71   0.213    0.04     749    0.03
 2015 232    72   0.220    0.04     776    0.03
 2015 233    73   0.224    0.04     794    0.03
 2015 234    74   0.229    0.05     813    0.03
 2015 235    75   0.232    0.05     827    0.03
 2015 236    76   0.237    0.05     843    0.02
 2015 237    77   0.240    0.05     856    0.02
 2015 238    78   0.242    0.05     867    0.02
 2015 239    79   0.246    0.05     882    0.33
 2015 240    80   0.248    0.06     891    0.26
 2015 241    81   0.250    0.06     900    0.21
 2015 242    82   0.253    0.06     913    0.17
 2015 243    83   0.256    0.06     923    0.13
 2015 244    84   0.258    0.06     932    0.11
 2015 245    85   0.260    0.06     941    0.08
 2015 246    86   0.301    0.09    1118    0.07
 2015 247    87   0.331    0.11    1257    0.08
 2015 248    88   0.354    0.12    1368    0.09
 2015 249    89   0.372    0.14    1455    0.08
 2015 250    90   0.386    0.15    1524    0.07
 2015 251    91   0.397    0.16    1579    0.06
 2015 252    92   0.405    0.17    1622    0.60
 2015 253    93   0.411    0.18    1656    0.40

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2016 131     0   0.000    0.00       0    0.00
 2016 132     1   0.000    0.00       0    0.00
 2016 133     2   0.000    0.00       0    0.00
 2016 134     3   0.000    0.00       0    0.00
 2016 135     4   0.000    0.00       0    0.00
 2016 136     5   0.000    0.00       0    0.00
 2016 137     6   0.000    0.00       0    0.00
 2016 138     7   0.000    0.00       0    0.00
 2016 139     8   0.000    0.00       0    0.00
 2016 140     9   0.000    0.00       0    0.00
 2016 141    10   0.000    0.00       0    0.00
 2016 142    11   0.000    0.00       0    0.00
 2016 143    12   0.000    0.00       0    0.00
 2016 144    13   0.000    0.00       0    0.00
 2016 145    14   0.000    0.00       0    0.00
 2016 146    15   0.000    0.00       1    0.00
 2016 147    16   0.000    0.00       1    0.00
 2016 148    17   0.000    0.00       1    0.00
 2016 149    18   0.001    0.00       2    0.00
 2016 150    19   0.001    0.00       3    0.00
 2016 151    20   0.001    0.00       4    0.00
